id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
14	air pollutant	0.3876	-0.4599	1	24	52	5	2017.2	36.2	1.1524
15	air pollution	0.4359	0.0593	1	25	64	6	2018.6667	34.5	1.0722
30	analysis	-0.5739	-0.0361	3	27	61	6	2017	117	1.07
40	arctic	-0.9939	-0.6858	3	9	14	5	2020.6	87.8	0.949
47	atmosphere	-0.3544	-0.2135	3	28	62	6	2016.5	116.6667	1.2114
49	atmospheric chemistry	0.2041	-0.1549	1	23	57	5	2015.6	71.8	1.1652
51	atmospheric deposition	0.1404	-0.6359	1	25	65	7	2015	98.5714	1.2581
54	atmospheric pollution	0.652	-0.2903	1	19	33	5	2020.8	31.8	1.3483
71	bioaccumulation	0.7699	-0.0478	1	22	52	5	2017.2	39	0.636
74	biogeochemical cycle	-0.4335	-0.665	3	21	31	5	2018.6	141.2	1.71
81	biomonitoring	0.9228	0.357	1	21	43	5	2020.6	19	0.649
89	cadmium	0.397	0.5784	1	24	58	5	2015.4	36.4	0.8628
101	chemistry	-0.5451	0.2134	2	27	62	8	2019.625	72	1.1032
116	concentration (composition)	-0.0365	-0.0987	1	25	59	7	2017.7143	58.5714	1.0101
120	contamination	-0.2831	0.5382	2	24	43	6	2020.5	27.3333	1.1167
121	copper	0.256	0.3721	1	24	58	5	2015.4	36.4	0.8628
171	environmental monitoring	-0.1229	0.2157	2	27	94	11	2018.3636	43.6364	1.0632
203	france	0.7546	-0.5296	1	21	57	5	2014.6	48.6	0.9916
204	fungi	0.9653	-0.2685	1	22	67	7	2017.4286	35.1429	0.7297
276	lichens	1.0213	0.0096	1	22	73	9	2017.7778	28.2222	0.7404
291	mercury	-0.7803	-0.4325	3	17	40	7	2018.7143	112.2857	1.6422
301	meteorological problems	0.6972	0.2277	1	22	60	5	2016.4	40.6	0.9556
338	nonhuman	0.0269	0.6571	2	23	44	6	2020.8333	23.1667	1.6715
369	plant	-0.6744	0.8872	2	11	23	5	2022.4	14	1.063
381	pollution	-0.0758	-0.4183	3	27	56	6	2016	99.6667	0.9803
427	soil	-0.8686	0.181	2	21	68	13	2020.8462	53	0.9376
440	soil pollutant	-0.7636	0.5482	2	17	40	6	2021	38.5	0.9625
492	trace element	-0.3055	0.8232	2	20	37	7	2021.5714	15.4286	0.4889
503	tundra	-0.8194	-0.7312	3	12	21	6	2019.1667	89.6667	1.2504
