id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	adaptation	0.5042	0.5096	2	28	64	9	2021.3333	16	1.0196
13	anatomy and histology	0.7876	-0.5254	2	15	40	6	2019.5	28.1667	1.1076
16	animal	0.4978	0.0971	2	35	184	30	2020.7	17.9	1.0189
21	animal communication	0.0507	0.3969	3	29	46	5	2017.4	23.4	0.8379
27	animalia	-0.6832	0.2199	1	29	91	11	2017.5455	32.1818	1.0901
29	anolis	0.8405	-0.2794	2	24	54	7	2019.4286	21	0.9591
31	anolis sagrei	1.0351	0.3544	2	16	29	4	2020.5	10	0.7349
51	biological evolution	0.7906	0.265	2	23	92	15	2020.8	24.0667	1.2119
60	bite force	-0.3179	-0.011	3	16	22	4	2018.5	20	0.7767
64	body size	-0.1344	-0.3881	1	18	27	4	2018	26	1.0219
75	chemical communication	-0.6311	-0.1762	1	23	49	6	2018.3333	30.8333	1.0995
78	chemical cue	-0.7033	-0.4297	1	26	63	8	2018.875	27.625	0.836
84	chemical signals	-1.0515	0.1714	1	14	21	4	2018.25	26	1.1047
108	conspecific	-1.019	-0.4988	1	10	17	4	2020.5	14.25	0.639
155	evolution	0.9278	0.1154	2	25	107	18	2021.0556	21.5	1.138
166	feeding behavior	-0.0959	0.7134	3	23	43	6	2019.3333	17.3333	0.9268
168	female	-0.0862	0.2621	3	26	61	8	2018.75	16.625	0.7506
193	genetic selection	1.1097	-0.4372	2	14	29	4	2022.25	23	1.5554
195	genetics	0.7627	-0.0393	2	27	57	8	2021.375	14	1.015
214	human	0.5021	-0.4535	2	22	42	6	2019.8333	23.8333	1.2788
237	invasive species	1.2551	-0.0629	2	11	27	4	2022.75	9.25	1.0612
239	island	0.0225	-0.6455	2	22	40	7	2021.5714	25.2857	1.0821
250	lacertidae	-0.7986	0.041	1	28	79	13	2019.1538	22.1538	0.9388
259	lizard	-0.0558	-0.1321	1	37	248	39	2019.8462	20.9231	0.9611
266	male	0.0305	0.0581	3	30	80	11	2018.8182	15.6364	0.725
290	nonhuman	0.4972	-0.1806	2	25	59	8	2019.125	25.375	1.0462
301	phenotype	0.2218	-0.583	2	18	27	5	2020.4	20	0.9708
303	pheromone	-0.9803	-0.0722	1	24	59	8	2019.75	28.375	1.2289
304	phylogenetic comparative methods	-0.5656	0.7851	1	17	28	4	2019.5	29.75	1.6365
307	phylogenetics	-0.4737	0.5837	1	25	47	5	2018.8	27.8	1.4003
308	phylogeny	0.3581	0.3575	2	30	82	10	2019.7	24.7	1.0081
312	physiology	0.2373	-0.1527	2	33	81	10	2019.5	18.8	0.9102
331	protein	-0.606	-0.6897	1	13	19	4	2020.5	21.5	0.8273
346	secretion	-0.907	-0.2859	1	22	45	5	2017.4	37.2	0.8632
350	semiochemical	-0.4633	-0.3358	1	22	38	4	2017.75	26.5	0.7719
372	signaling	-0.7175	0.45	1	20	30	4	2018.25	37.75	1.3279
382	snake	0.3469	0.8362	3	16	28	5	2019.6	22.2	0.9159
395	squamata	-0.4878	0.1622	1	34	115	15	2017.6667	30.2667	1.0898
