id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
31	agriculture	-0.9161	-0.3289	3	9	13	8	2019.25	36.5	1.1095
37	agroecology	-1.07	-0.4198	3	4	8	8	2019.375	41.75	1.2195
49	amino acid sequence	0.7174	-0.3024	1	15	40	6	2006	43.5	1.0595
63	animal	-0.4351	0.3276	2	20	91	18	2007.2222	40.7222	1.095
75	animalia	-0.5124	0.0945	2	18	41	10	2006.7	39.5	0.9082
104	ascomycota	1.193	-0.1783	1	14	55	6	2006.3333	21.8333	0.6768
134	belgium	-0.8956	-0.2259	3	21	40	18	2016.9444	35.6667	1.1645
167	candida glabrata	0.9856	0.1673	1	14	44	6	2008.5	107.5	0.8936
180	carrier protein	0.9328	-0.1759	1	15	53	6	2006.5	43	1.2059
339	drosophila melanogaster	-0.2879	0.5938	2	8	25	6	1996.3333	17.5	1
387	europe	-0.6378	-0.048	3	18	32	9	2013.4444	62.3333	0.9907
390	"evolution, molecular"	0.7247	0.0961	1	20	56	7	2008.2857	51	0.8446
411	farming system	-0.85	-0.3759	3	9	13	6	2016.3333	80.1667	1.2611
414	female	-0.4747	0.5643	2	14	46	8	2001.75	28.625	1.1306
449	fungal protein	0.7976	-0.1188	1	15	56	7	2007.8571	110.4286	1.141
484	genetic marker	-0.2663	0.0782	2	17	44	7	2007.8571	63.4286	1.3095
489	genetic selection	-0.2416	0.448	2	14	36	6	2001.1667	35.3333	1.2024
492	genetic variability	-0.3726	0.1165	2	17	40	6	2008.3333	71.6667	1.3366
493	genetics	-0.2179	0.21	2	19	66	11	2009.5455	49.6364	0.8544
496	genome	0.2785	0.1559	1	27	59	8	2006.75	46.625	1.4424
536	grassland	-0.994	-0.2701	3	7	14	7	2020.4286	34.1429	1.1601
568	human	-0.2144	-0.2102	3	16	26	7	2014.5714	121.1429	1.5077
623	kluyveromyces lactis	1.1483	0.1112	1	14	54	7	2008.2857	46.4286	0.5461
651	livestock	-0.6055	-0.1335	3	17	31	7	2014.7143	21.5714	0.7219
668	male	-0.3832	0.5205	2	14	50	9	2000.8889	27.4444	1.1161
704	microsatellite dna	-0.596	0.3332	2	15	43	6	2009.1667	37	0.7915
705	microsatellite repeats	-0.5633	0.2374	2	15	43	6	2009.1667	37	0.7915
759	nonhuman	0.317	0.0176	1	29	151	27	2005.8519	56.9259	0.9951
830	phylogeny	0.6195	-0.0697	1	24	114	16	2007.1875	86.4375	1.0748
855	population genetics	-0.3359	0.2516	2	17	39	8	2008.25	64	1.2132
948	saccharomyces cerevisiae	0.946	0.0276	1	15	82	12	2007.9167	81.5833	0.9713
954	saccharomycetes	1.0692	-0.1041	1	14	54	7	2008	47.2857	0.8477
1060	sustainability	-0.982	-0.4229	3	6	12	8	2020.25	55.125	1.4152
1121	unclassified drug	0.9006	-0.3374	1	15	45	6	2007.6667	41.1667	0.9497
1141	wallonia	-1.0373	-0.3468	3	7	15	6	2019.5	50.6667	1.2202
1150	yarrowia lipolytica	1.2096	-0.0112	1	14	62	8	2008.625	26.875	0.7542
1151	yeast	1.0497	-0.2715	1	15	77	11	2007.5455	23.5455	0.6637
