id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
13	africa	0.638	-0.1445	2	18	31	8	2005.75	45.75	1.2091
26	agricultural machinery	-0.3094	-0.583	3	18	44	6	2019.1667	17.6667	0.7428
39	agriculture	-0.4842	-0.4148	3	23	48	10	2013.7	24	0.8296
89	belgium	-0.8985	0.2049	1	24	63	13	2014.6154	53.3846	0.9519
121	burkina faso	1.0577	0.3712	2	8	18	7	2020.1429	9.5714	0.5726
135	catchment	-0.8655	0.5189	1	16	41	9	2018	36.3333	1.4486
172	connectivity	-0.629	0.6514	1	13	27	6	2015.1667	52.1667	2.0083
200	crop	-0.0548	-0.0652	3	25	67	8	2014.625	29	0.97
207	crop production	1.0368	0.1854	2	16	43	10	2014.2	38.5	1.0769
210	crop yield	1.0286	0.0211	2	16	42	10	2015.8	25.6	0.8077
319	erosion	-0.5524	0.0967	1	29	129	25	2015.68	32.84	1.083
321	erosion control	-0.8953	-0.3196	1	21	39	6	2015.5	76.1667	1.0865
338	europe	-1.0641	0.2081	1	16	34	7	2009.4286	122	1.8329
369	fertilizer application	1.1647	0.2237	2	16	43	9	2017.4444	28	0.8818
519	intercropping	0.2438	-0.2979	3	24	52	8	2009	26.75	0.6055
542	land use	-0.5593	0.4876	1	17	34	9	2016.6667	28.2222	0.8204
579	maize	0.1414	-0.0938	3	27	68	11	2015.4545	23.0909	0.7547
585	manure	1.1849	-0.0882	2	14	37	9	2014.5556	42.7778	1.1616
617	millet	1.0771	-0.1999	2	13	47	8	2008.25	43.25	1.0353
632	modelling	-0.3627	0.2728	1	29	69	15	2014.5333	56.8667	1.6132
662	niger [west africa]	0.802	0.0392	2	16	33	8	2010.375	28.375	0.8038
698	overland flow	-0.3835	-0.0087	3	21	52	8	2016.625	24.375	0.9805
704	parameterization	-0.1602	0.4079	1	20	32	7	2015.4286	32	0.854
722	pennisetum glaucum	0.9552	-0.2793	2	13	32	7	2006.4286	36.4286	0.8489
788	rain	-0.3517	-0.2209	3	23	67	11	2017.1818	24.7273	0.9562
794	rainfall	0.1473	0.2214	2	29	52	11	2012.0909	29.9091	0.9964
850	runoff	-0.5831	0.2586	1	26	123	24	2014.3333	32.6667	1.01
866	sahel	0.8649	-0.138	2	17	55	13	2007.5385	44.8462	0.8333
888	sediment	-0.7514	-0.0039	1	23	55	10	2016.7	26.1	0.9448
898	sediment transport	-0.7017	0.4073	1	18	32	8	2014.875	37	1.3471
918	silt	-0.4771	-0.575	3	22	38	7	2015.5714	22.7143	1.0847
940	soil	-0.1199	-0.206	3	31	117	26	2016.1154	22.1923	0.6915
953	soil conservation	-0.6341	-0.2323	1	27	50	6	2016.8333	79.5	1.9229
961	soil erosion	-0.5924	-0.0608	1	27	108	17	2015.8235	55.0588	1.2705
963	soil fertility	0.9042	0.1618	2	18	41	9	2017.2222	24.6667	0.751
998	soil structure	-0.295	-0.7195	3	7	19	6	2016.8333	24.3333	1.0351
1052	sub-saharan africa	1.2001	0.0744	2	14	29	7	2017.1429	24.7143	0.9675
1071	sustainability	0.8887	0.3268	2	9	12	7	2010.2857	64.4286	0.7673
1092	tillage	0.0469	-0.4557	3	27	78	13	2012.6154	16.7692	0.5704
1188	watershed	-1.0824	-0.0284	1	11	16	6	2020	33.3333	1.0297
1194	western europe	-0.8705	-0.1377	1	23	64	8	2014.25	71.625	1.3763
1200	wind erosion	0.2956	0.134	2	19	27	7	2005.4286	41.4286	0.9779
