id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
61	bayesian maximum entropy (bme)	0.2953	0.116	1	29	89	19	2011.1053	20.8421	0.8894
72	belgium	0.4193	-0.2329	1	26	59	10	2010	18.5	0.5589
73	benelux	1.1218	0.0377	1	18	38	5	2007.6	11.6	0.1166
170	data acquisition	-0.4561	-0.2293	2	14	15	5	2015	20.8	0.9492
174	data fusion	0.214	-0.3789	4	26	60	10	2015	16.2	0.7364
200	digital elevation model	0.4593	-0.5887	4	21	27	5	2017.8	29.8	1.7263
205	digital soil mapping	-0.3549	-0.6698	4	19	40	7	2017.1429	48.5714	1.7481
242	entropy	0.1978	0.8634	1	11	19	5	2009.2	20	1.055
250	environmental monitoring	0.2832	0.595	1	15	18	5	2015.2	14	1.0619
257	error analysis	-0.6981	-0.065	3	15	18	5	2010.6	71.8	1.2124
263	eurasia	0.9242	-0.2765	1	18	38	5	2007.6	11.6	0.1166
264	europe	0.9306	0.083	1	18	39	6	2010.5	10	0.5416
277	forecasting	0.0403	-0.0427	3	23	42	7	2016.4286	21.4286	0.9884
287	forestry	-0.5046	0.8478	3	8	14	5	2010.2	106.6	1.2635
316	geostatistics	0.7892	0.3531	1	13	21	9	2004.2222	25.3333	0.538
326	ground penetrating radar	-1.0394	-0.4153	2	13	23	5	2012.8	66.8	1.1826
365	image analysis	-0.5824	0.6344	3	8	11	6	2008.5	76.3333	1.41
403	iran	-0.0902	-0.5746	4	17	36	7	2017.8571	43.1429	1.8341
406	kriging	0.4785	0.2176	1	24	51	13	2009.2308	25.3077	1.1862
415	land cover	-0.7435	0.6389	3	14	25	7	2014.1429	35	0.893
474	mapping	-0.3948	0.0999	2	27	80	17	2013.7647	36.4706	1.2969
475	mapping method	-0.0291	-0.8526	4	21	35	5	2017	44	1.4602
513	modelling	-0.1885	0.1467	2	28	46	12	2010.75	29.4167	1.2559
611	prediction	0.5872	-0.0342	1	18	26	5	2013.2	13.8	0.8626
621	probability	0.0134	0.5083	1	21	35	7	2010.8571	36.2857	0.813
671	remote sensing	-0.6893	0.2994	3	22	41	15	2012.6	65.4	1.2083
691	sampling	-0.291	0.6434	3	12	13	5	2007.6	50.8	1.4105
737	soil	-0.5472	-0.4854	2	23	73	18	2014.2778	38.7222	1.1971
754	soil moisture	-0.9513	-0.5651	2	13	23	6	2013.1667	66.3333	1.372
790	spatial analysis	0.4564	0.5881	1	18	21	5	2013	16.6	1.149
795	spatial distribution	-0.0744	-0.2738	4	19	24	5	2012.8	33.8	0.8229
803	spatial prediction	0.3109	-0.7772	4	19	26	5	2014.6	18.4	0.4957
810	spatial variation	-0.9736	-0.029	2	11	12	5	2013.4	38.6	0.8793
974	western europe	1.0871	-0.1817	1	18	38	5	2007.6	11.6	0.1166
