id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
65	amino acid sequence	-0.8394	0.1193	1	21	73	10	2012.2	84.8	1.9466
76	animal	-0.2979	0.043	1	25	59	12	2015.9167	32.75	1.093
97	aphid	-0.1548	-0.0674	1	17	29	10	2017.3	32.7	1.02
224	belgium	-0.5435	0.0876	1	25	58	10	2009.2	19.1	0.9564
234	beta vulgaris	-0.6437	0.2637	1	22	71	11	2010.2727	23.0909	0.6993
394	classification	-0.7869	-0.1986	1	23	106	13	2015.3846	18.8462	1.2038
425	commodity risk assessment	1.9224	-0.0562	2	5	79	28	2022.8571	5.3571	0.7806
636	european union	1.5949	-0.0082	2	10	458	142	2020.1056	5.5141	0.5557
689	forest pathology	1.0458	-0.1948	2	8	58	14	2018	2.9286	0.2602
766	genetic variability	-0.58	-0.1887	1	24	62	10	2013.4	85.2	1.8054
770	genetics	-0.5736	-0.109	1	28	210	33	2017.6667	16.0909	1.3663
845	hemiptera	0.1335	0.0686	4	19	66	16	2020.8125	20.5625	0.6781
936	isolation and purification	-0.8178	-0.0304	1	25	99	13	2014.4615	18.3846	1.245
1060	microbiology	-0.3883	-0.2166	1	23	55	11	2018.7273	28.2727	0.7915
1149	nonhuman	-0.459	0.0265	1	29	193	34	2015.9706	40.5588	1.5766
1165	nucleotide sequence	-0.6504	0.0668	1	26	134	17	2014.1176	15.7647	0.6406
1221	pathogenicity	-0.6876	-0.077	1	23	69	10	2013	18.5	0.9142
1225	pathway model	0.0872	-0.1982	1	1	3	11	2022.2727	3.2727	0.4619
1226	pathway risk assessment	1.877	0.27	2	4	47	12	2023.1667	2	0.2855
1260	pest risk	1.1521	0.0568	2	10	631	193	2020.5078	5.6477	0.5735
1293	phylogeny	-0.6888	-0.1872	1	25	153	25	2017.36	44	1.9245
1333	plant disease	-0.4891	-0.0789	1	27	218	37	2016.2432	21.8919	1.1908
1336	plant health	1.405	-0.005	2	14	752	229	2021.0961	5.4017	0.5806
1342	plant pest	1.4546	0.153	2	13	771	230	2021.0826	5.2043	0.573
1349	plant virus	-0.5747	0.2037	1	26	126	20	2010.2	36.45	1.2442
1355	plants for planting	1.6912	-0.1803	2	7	26	13	2020.7692	4	0.2636
1378	polymerase chain reaction	-0.3588	0.1573	1	24	51	11	2012	14.8182	0.5065
1381	polymyxa	-0.5137	0.2959	1	22	57	16	2012.5625	14.875	0.8041
1481	quarantine	1.2819	0.1759	2	13	715	218	2020.5917	5.5046	0.5287
1523	reverse transcription polymerase chain reaction	-0.6787	0.1774	1	23	75	10	2008.1	21.4	0.9174
1542	risk	0.0677	-0.1854	1	7	11	13	2020.0769	74.0769	1.9965
1572	rna virus	-0.7689	0.2009	1	24	153	21	2011.5714	24.8095	1.0247
1635	sequence analysis	-0.7515	0.0439	1	25	85	10	2014.4	22.7	0.8949
1677	solanum lycopersicum	-0.3189	-0.101	1	23	53	11	2016.0909	22.5455	1.3143
1679	solanum tuberosum	0.36	0.1223	3	11	30	10	2018.5	5.7	0.4252
1726	sugar beet	-0.4225	0.2297	1	24	57	10	2012.1	27.8	1.1793
1810	tree health	1.2311	-0.2136	2	6	49	11	2018	2.4545	0.2661
1866	virology	-0.6339	-0.0128	1	25	160	22	2014.5909	25.5455	1.147
1879	virus genome	-0.8333	-0.1218	1	21	98	11	2018	23.2727	1.2986
1917	wheat	-0.3486	-0.0206	1	27	54	15	2014.2667	15.1333	0.6487
1930	xanthomonas	-0.5	-0.3106	1	11	34	12	2016.1667	26	1.4603
