id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9	anatomy and histology	1.2714	0.1629	2	16	44	5	2018.8	43	1.0963
28	biological model	1.1007	0.251	2	19	43	6	2018.8333	58.1667	1.2054
29	biological transport	1.2887	-0.1399	2	16	49	6	2020.1667	31.5	1.0653
82	drought stress	-0.4887	0.4981	1	29	78	9	2018.4444	56.3333	0.918
101	evapotranspiration	0.7138	-0.2169	2	26	48	6	2019	19.6667	0.7937
116	flow of water	-0.7014	-0.2886	1	30	115	12	2018.75	52	1.1014
120	forestry	-0.823	0.3822	1	25	47	4	2014.5	111.25	1.1412
155	hydraulic conductivity	-0.0343	0.5681	1	28	48	7	2018.1429	36.5714	0.8541
160	hydraulic properties	-0.5678	-0.6643	1	25	53	5	2018.8	39.4	0.9341
164	hydraulics	-0.3592	-0.5935	1	26	66	6	2017.6667	60.5	1.0192
165	hydrodynamics	-0.0057	0.3524	1	31	48	5	2017.6	45.8	0.8932
167	hydrolics	0.025	-0.452	1	35	73	7	2015.8571	73.8571	0.993
207	maize	0.5916	0.0171	2	36	90	11	2017.7273	59.1818	1.0585
222	metabolism	1.1069	-0.0063	2	20	75	11	2019.7273	44.6364	1.1683
226	modelling	-0.3164	0.6397	1	29	80	9	2017.6667	72.5556	1.1732
268	physiology	1.148	-0.2687	2	17	58	8	2020.125	43.875	1.5063
271	plant	-0.3121	-0.027	1	34	129	14	2017.3571	64	1.002
282	plant root	0.8647	0.0001	2	30	97	12	2019.8333	45.5	1.1946
288	plant transpiration	0.7991	-0.4173	2	25	40	4	2018.75	36.75	1.2371
291	plant water relation	-0.9069	0.2199	1	25	43	4	2017.25	50	0.8751
327	rhizosphere	-0.662	0.6478	1	21	37	6	2018.3333	44.6667	0.8377
332	root	-0.2939	0.3678	1	24	42	6	2020.3333	21.6667	0.7145
334	root architecture	-0.8883	-0.503	1	21	39	4	2018.75	46.25	1.0736
349	root system	-0.3266	0.1791	1	32	133	14	2019.4286	57.2857	1.2474
352	root water uptake	-0.0296	-0.0489	1	36	80	12	2019.4167	29.3333	1.0516
354	root-water uptake	-0.9392	-0.2661	1	27	71	7	2018.4286	55.8571	0.9912
367	simulation	0.0985	0.0954	1	34	61	7	2018.5714	47.8571	0.965
369	soil	0.3987	-0.144	2	36	100	14	2018.8571	43.2857	1.2236
381	soil moisture	-0.7431	-0.0446	1	32	138	15	2017.4667	67.2	0.9909
386	soil water	-0.4841	-0.1603	1	33	139	15	2018.4667	58.5333	1.002
390	soil water potential	-0.5734	0.3066	1	28	73	8	2017.75	53.25	0.8619
424	three-dimensional modeling	-0.605	-0.4687	1	27	72	7	2016.2857	91.2857	1.0166
430	transpiration	-0.5614	0.1166	1	32	129	16	2019.1875	42.9375	1.006
432	transport at the cellular level	1.3404	0.0051	2	16	49	6	2020.1667	31.5	1.0653
444	water	0.8371	0.2397	2	29	105	15	2019.3333	44.6	1.2345
449	water content	-0.3471	-0.3154	1	29	73	8	2018.5	60.125	1.0657
453	water flow	-0.1245	-0.2823	1	32	93	11	2019.7273	36.2727	0.6837
468	water uptake	-0.9392	-0.0043	1	30	119	12	2019	58.8333	1.215
476	xylem	0.4485	0.2624	2	31	51	6	2018.5	50.5	0.9915
