id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
20	antarctica	-0.8643	0.2017	1	26	53	7	2019.8571	99.5714	1.2849
22	anthropogenic effect	0.1082	-0.2687	4	18	26	6	2010.6667	67.1667	0.8953
30	astronomical forcing	-0.7712	-0.0297	1	30	59	7	2016.5714	129.5714	1.5027
35	astronomy	0.158	0.7528	3	29	55	8	2016.25	20	1.1403
40	atlantic ocean	1.0062	-0.5535	2	21	56	9	2007.7778	77.2222	0.6219
44	atmosphere-ocean coupling	0.9851	-0.053	2	25	61	8	2009.625	219.875	1.9267
96	carbon dioxide	0.1032	0.3126	3	39	136	19	2015.2105	99.4737	1.3026
110	climate	-0.2836	0.5129	4	23	52	9	2011.8889	86.7778	1.2504
112	climate change	0.161	0.0708	3	42	174	36	2013.0833	187.5278	1.6243
115	climate forcing	-0.251	0.0422	3	31	55	10	2011.6	97.1	1.0567
125	climate sensitivity	0.4007	-0.8828	2	20	34	6	2011.1667	118.6667	1.5558
132	climate variation	-0.0599	0.1527	3	36	84	14	2014.9286	47.6429	0.6502
139	climatology	0.7927	-0.7374	2	21	49	8	2008.75	164.875	1.3573
189	devonian	0.5632	0.9333	3	12	22	6	2021.3333	19	1.8508
201	dynamical systems	-1.0231	-0.5988	1	17	35	6	2017.6667	33.8333	0.4566
206	earth atmosphere	0.6067	-0.6768	2	19	31	6	2005.6667	108.3333	0.8932
216	eccentricity	0.2997	0.8905	3	18	23	6	2021.6667	12	0.8793
279	general circulation model	0.7468	0.2022	2	29	58	9	2012.7778	96.6667	1.2594
295	glacial geology	-0.328	-0.5976	1	36	108	13	2014.4615	91.3846	1.2042
299	glacial-interglacial cycle	-0.7009	-0.4356	1	26	55	10	2015.5	39.6	0.729
300	glaciation	-0.8341	0.4018	1	24	45	7	2016.7143	65.1429	0.9517
301	glacier	-0.5717	-0.6461	1	29	67	8	2014.875	71.625	0.9763
318	greenhouse gas	-0.3157	0.2644	4	24	39	7	2011.4286	95.4286	1.2244
340	holocene	-0.0312	0.4835	4	28	59	10	2010.6	451.9	1.9228
349	ice	-0.8789	-0.2796	1	28	85	11	2019.3636	56.2727	1.1006
356	ice sheet	-0.3158	-0.289	1	39	127	19	2014.8421	46.8421	0.7836
361	incident solar radiation	-1.0757	-0.0639	1	25	52	6	2018.1667	125.8333	1.7519
371	interglacial	-0.4701	0.7636	4	26	56	9	2013.6667	342.5556	1.8452
389	last glacial maximum	0.9368	-0.307	2	27	95	14	2007.9286	198.5714	1.1262
447	modelling	0.3922	-0.1024	2	43	243	53	2012.1509	97.6792	1.1864
450	monsoon	-0.0677	0.8064	3	23	38	6	2015	194.3333	2.1057
478	northern hemisphere	-0.5476	0.1363	1	35	97	11	2015	108.1818	1.4759
516	palaeoclimate	-0.3068	-0.9282	1	17	26	6	2015.6667	51.1667	0.5318
521	paleoclimate	-0.0527	-0.1002	4	43	217	39	2011.2821	106.0513	1.0343
553	pleistocene	-0.5574	-0.18	1	33	95	15	2017.2667	52.8	1.0582
566	precipitation (climatology)	0.646	0.6518	3	19	40	7	2012.8571	212.8571	1.4419
575	proxy climate record	0.5649	0.3723	2	32	54	7	2013.5714	39	0.9617
585	quaternary	-0.5879	0.5748	4	28	70	9	2013.7778	96.5556	1.4009
595	reconstruction	0.6463	-0.4172	2	25	47	6	2010.1667	102.8333	0.9926
623	sea ice	0.2628	-0.4604	2	34	80	10	2011.2	126.3	0.9801
627	sea surface temperature	0.5217	0.1498	2	30	81	13	2012.7692	137	1.24
641	sensitivity analysis	-0.0994	-0.5258	1	28	45	7	2011.2857	53.1429	0.7416
654	simulation	0.7007	-0.144	2	36	121	21	2010.2857	112.5714	1.3284
758	vegetation	0.3916	0.6012	3	20	39	7	2009	84.5714	1.4256
