id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
108	arbuscular	-0.7789	-0.1269	2	38	300	36	2010.5	37.1389	0.9808
109	arbuscular mycorrhiza	-0.343	-0.298	2	40	755	109	2013.945	36.4679	1.018
145	bacteria	0.2962	-0.5527	1	40	240	25	2012.96	57.68	1.7429
157	bacterium	0.7969	-0.4897	1	34	104	11	2018	57.2727	2.4268
161	banana	-1.0043	-0.5214	2	25	54	12	2009.3333	28.5833	0.6196
163	barrel medic	-0.7956	0.3575	3	37	202	16	2015	28.375	1.0245
242	carrot	0.3014	-0.958	2	32	119	19	2006.4211	48.2105	0.8996
305	colonization	-0.539	0.8168	3	34	106	12	2015.5833	23.5833	0.7849
345	cryopreservation	0.9687	0.51	1	23	64	10	2010.7	36.5	0.7302
421	drug effect	0.5068	0.485	1	34	97	10	2018.4	49.4	1.3761
553	fungi	-0.0988	-0.2764	2	40	843	115	2013.3913	39.7217	1.0454
563	fungus hyphae	0.4437	-0.3835	1	40	267	24	2016.0833	38.0833	1.0725
565	fungus spore	-0.164	-0.0301	1	40	182	18	2012.8889	27.1667	0.8885
578	gene expression	-0.1057	-0.9051	2	34	102	12	2016.8333	25.25	0.8853
594	genetics	0.8036	-0.0837	1	38	227	25	2017.8	58.72	1.6632
619	glomeromycota	-0.1112	0.2079	1	40	331	31	2016.4839	42.871	1.081
620	glomus	-0.4385	-0.8989	2	32	155	19	2006.2632	48.1579	0.9896
624	glomus intraradices	-0.6583	-0.7433	2	34	141	17	2007.0588	47.6471	0.9832
654	"growth, development and aging"	0.1329	0.3457	1	40	322	28	2016.2143	28.1071	1.1316
662	herb	-0.8245	0.6731	3	31	111	10	2013.9	25.6	0.8607
690	hyphae	0.5817	-0.6811	1	38	210	19	2017	42.8947	1.2576
736	inoculation	-0.6139	-0.3876	2	38	129	18	2013.2778	35.6667	1.0112
761	isolation and purification	1.0019	0.0813	1	33	105	10	2017.7	67.1	2.3187
831	medicago truncatula	-0.9732	0.1832	3	37	219	21	2014.5238	26.9524	0.9297
839	metabolism	0.2829	0.5608	1	39	323	31	2018	30.8387	1.2101
869	microbiology	0.4418	0.2006	1	40	537	52	2017.0962	37.4808	1.311
908	mycelium	0.1131	0.8807	4	35	143	16	2011.375	35.375	0.8907
915	mycorrhiza	0.1706	0.0772	1	40	690	78	2015.6026	31.8974	1.0963
943	nonhuman	0.0554	-0.4975	4	39	255	35	2014.2286	37.3143	0.9241
955	nutrient uptake	-0.2435	0.8932	3	32	104	10	2013.9	47.6	0.995
1019	phosphorus	-0.3028	0.437	3	38	189	19	2013.5789	29.1053	0.8358
1036	physiology	0.4735	-0.0528	1	40	382	34	2016.7941	44.7353	1.5435
1055	plant	0.7743	0.2645	4	34	104	13	2016.2308	26.0769	1.3435
1082	plant root	0.1719	-0.1731	4	40	506	50	2015.2	30.4	1.1837
1206	rhizophagus	-0.5175	0.2036	3	37	238	26	2016.4615	32.6154	0.8874
1209	rhizophagus irregularis	-0.4784	-0.0445	3	38	240	29	2018.9655	22.3793	0.904
1225	root colonization	-0.5428	0.4883	3	39	191	18	2013.9444	30.7222	0.8553
1300	soil	0.5344	0.756	4	34	124	14	2018.7857	39.9286	1.3047
1311	soil microbiology	0.9675	-0.2598	1	33	170	16	2021.8125	52.5	2.0434
1326	solanum tuberosum	-0.2779	-0.6627	2	33	114	20	2015.45	45.8	1.2676
1383	symbiosis	-0.0073	0.6045	4	39	261	27	2016.6667	44.2963	1.5832
