id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	africa	0.6419	0.2101	1	22	38	12	2010.4167	57.75	1.328
28	agricultural land	0.3655	0.284	1	26	47	13	2017.1538	99.6923	2.0897
45	agriculture	-0.2816	-0.0534	4	35	111	29	2017.5172	26.1724	0.7129
135	belgium	-0.7925	-0.1002	4	27	72	15	2016	43.3333	1.063
149	biodiversity	0.9824	0.4805	1	18	35	10	2018.8	45.6	1.1415
220	classification	0.1206	0.6715	5	32	71	16	2016.6875	59.9375	1.186
237	climate change	0.4288	-0.448	1	36	100	27	2016.037	52.5926	1.0062
319	crop	-0.5882	0.1312	4	38	233	47	2014.1489	54.4255	1.0519
356	cultivation	-0.6329	0.5495	5	31	64	11	2014.7273	60.6364	1.0348
358	data acquisition	0.0365	-0.2834	1	34	59	13	2011.6154	53.3846	1.0682
375	decision tree	-0.4334	0.6672	5	27	57	10	2017.6	68.4	1.3692
377	deforestation	0.9288	-0.0313	1	24	47	10	2008.3	67.3	1.1738
569	food supply	-0.35	0.8747	5	24	51	11	2016	53.3636	0.9773
593	forestry	0.679	-0.3003	2	39	160	33	2011.7576	43.7576	0.7595
595	forests	1.0689	-0.2984	2	22	63	13	2008.7692	99.2308	0.9385
620	geographic information system	0.6774	0.6304	1	18	27	10	2009.8	41.4	1.1122
767	image analysis	0.2442	-0.1857	2	39	113	26	2011.1538	42.8462	0.7139
768	image classification	-0.4349	0.3287	5	34	70	13	2015.9231	48.0769	0.9475
772	image reconstruction	0.5944	-0.752	2	24	55	10	2010.7	4.7	0.0935
773	image resolution	0.1537	0.4325	3	31	88	18	2016	81.1667	2.1149
865	land cover	0.6034	-0.0078	1	39	160	42	2014.5952	60.881	1.2121
886	land use	0.7682	0.3704	1	33	93	19	2015.2105	73.7895	1.4497
888	land use changes	1.0473	0.0911	1	25	54	10	2014.5	71.4	1.3663
919	leaf area index	-0.9236	0.1633	3	29	94	18	2012.6667	63.1111	1.2299
946	maize	-1.0902	-0.2532	4	24	61	10	2016.1	34.7	0.6486
964	mapping	0.3739	0.5656	1	38	118	27	2014.6296	55	0.9647
1013	modelling	-0.1418	-0.535	4	35	78	21	2011.8095	71.5714	1.2718
1017	modis	-0.5386	-0.2895	3	30	93	14	2013	54.0714	0.9214
1226	plant	0.0962	-0.8568	2	30	59	11	2009.3636	16	0.4773
1300	radiative transfer	-0.9513	0.4744	3	24	47	10	2015.6	71.9	1.3563
1306	radiometry	-0.2602	-0.3344	3	36	95	15	2010	48.6	0.8768
1343	remote sensing	0.1284	-0.0012	2	43	429	107	2013.0935	42.1495	0.9592
1413	satellite	0.4805	-0.2206	2	33	77	15	2012.4	94.8667	1.0049
1418	satellite data	-0.2149	-0.7651	3	25	42	10	2014.6	79.6	1.1708
1421	satellite imagery	-0.2092	0.4086	3	40	176	33	2013.0909	105.5455	1.7345
1474	sentinel-2	-0.0796	0.8737	5	26	67	20	2018.7	100.7	1.4684
1507	soil	-0.5666	-0.6701	4	27	74	18	2014.3889	36.4444	0.9447
1517	soil moisture	-0.766	-0.6638	4	26	68	15	2014.6667	35	0.7303
1539	space optics	0.8342	-0.5732	2	22	52	11	2012.6364	44.5455	1.3093
1551	spatial resolution	-0.0437	0.287	3	40	160	32	2011.9688	83.5938	1.4959
1636	synthetic aperture radar	-0.8654	-0.4013	4	29	100	22	2014.5455	38.2273	0.8498
1694	time series	-0.11	0.0747	5	39	181	36	2015.1111	48.6944	0.9869
1719	triticum aestivum	-1.1263	0.0209	3	22	60	10	2011.2	77.7	1.3047
1753	vegetation	0.1469	-0.5653	2	40	127	27	2011.3333	48.3333	0.92
