id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
13	aerosol	-0.4455	0.6616	5	19	36	7	2013	56.5714	1.057
39	andosol	0.4985	0.8547	4	6	10	5	2010.6	25	1.3576
50	ash	0.0605	-0.8598	3	16	30	5	2016.2	39.6	1.0606
69	atmospheric chemistry	0.3933	0.1383	1	16	24	5	2014	39.6	0.8234
140	chemical composition	0.3573	0.4603	4	19	31	6	2011.3333	56	0.9312
145	chemical weathering	1.1368	-0.2429	1	12	25	6	2018.8333	38.6667	1.1335
167	concentration (composition)	-0.7309	-0.5731	2	19	39	6	2018	23.6667	0.9103
183	crater lake	0.8232	0.5275	4	6	10	5	2004.8	61	0.7307
208	dissolution	-0.1069	0.4276	5	20	36	5	2016.6	60.8	1.5201
300	geochemistry	0.6709	0.3517	4	20	27	7	2004	100	1.1336
330	hazard assessment	-0.3808	-0.8219	3	17	36	6	2016.8333	37.6667	1.1089
335	health risk	-0.1261	-0.7734	3	22	46	7	2014.8571	39.1429	1.0083
343	high temperature	-1.0719	0.0268	2	14	24	5	2016	41.8	1.3499
372	hydrothermal system	0.8562	0.2869	4	17	25	9	2013	35.1111	1.1247
379	iceland	-0.1313	-0.5176	3	22	39	6	2017.3333	23.5	0.778
380	igneous geochemistry	-1.055	-0.2597	2	15	26	5	2017.6	21.6	0.9883
411	iron	-0.7549	0.2258	5	23	58	10	2016.3	58.3	1.3023
425	isotope	0.9495	-0.2888	1	17	33	5	2020.4	14	1.0418
428	isotopic composition	0.7218	-0.403	1	21	35	5	2019.2	36	0.994
455	leachate	-0.4103	-0.3975	2	18	32	5	2018.2	32.2	0.6687
458	leaching	-0.7616	-0.3146	5	22	46	6	2017.1667	29	1.1499
521	mineralogy	0.1315	-0.3869	3	16	24	6	2011.8333	58.1667	0.771
546	nicaragua	0.1825	0.573	4	9	12	5	2013.4	32.8	0.572
561	oxidation	-0.9305	0.4168	5	17	31	5	2015	37.6	1.2753
600	phytoplankton	-0.897	0.6992	5	10	21	5	2015.4	103	1.6035
608	plume	-0.3402	0.3826	2	23	46	8	2014.875	59.75	1.1196
701	seawater	0.3018	-0.1807	1	20	26	5	2013	67	0.9465
714	silicate	0.6995	-0.1428	1	21	33	5	2016.6	72.2	1.0064
716	silicon	0.9412	-0.4944	1	17	34	6	2018.3333	33.3333	0.946
732	soil	0.4004	-0.6475	1	16	25	7	2020	21.5714	1.0835
772	solubility	-0.7458	-0.0317	5	22	39	6	2017.5	27.5	0.973
812	sulfate	0.493	0.6683	4	19	30	7	2010.4286	47.5714	0.7664
819	sulfur dioxide	-0.1935	0.6219	2	23	55	11	2012.9091	29.7273	0.9235
846	tephra	-0.2008	0.1354	2	19	29	9	2016.4444	53	1.2275
897	volcanic ash	-0.2892	-0.0872	3	37	158	31	2017.1613	42.0645	1.02
908	volcanic eruption	-0.5014	-0.1361	2	35	172	35	2016.2571	44.2857	1.0593
910	volcanic gas	-0.4806	0.1803	3	19	36	8	2012.125	34.125	0.7432
926	volcanoes	0.1371	0.1199	4	39	164	33	2014.4848	43.1515	0.9886
929	volcanology	-0.0532	-0.231	3	20	32	6	2016.8333	14.1667	0.641
946	weathering	0.8524	0.032	1	19	37	9	2018.5556	17.5556	1.1797
