id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	allele	0.8142	0.3934	1	18	47	6	2012.8333	74.6667	1.1262
37	arabidopsis	-0.1965	-0.4778	2	19	52	9	2012.1111	167.4444	1.5527
60	bacteria	-0.0263	-0.1665	2	13	17	5	2009.4	31.2	0.4604
71	biological model	-0.4045	-0.5481	2	15	43	10	2012.3	109.7	1.2457
79	breeding	0.6429	0.0895	1	22	51	6	2009.5	151.1667	1.046
109	chromosome mapping	0.5554	0.2899	1	19	45	5	2009.6	133.4	1.178
140	cotton	1.1501	-0.0046	1	16	66	7	2008	92.1429	0.9025
141	cotton fiber	0.9742	0.0514	1	16	55	5	2007.8	99.6	0.9875
145	cross breeding	0.8475	0.2122	1	18	58	6	2010.3333	46.1667	0.7609
214	evapotranspiration	-0.8919	-0.1054	2	17	35	6	2017	56.8333	1.0233
255	gene	1.0792	-0.1834	1	16	49	7	2006.8571	52.4286	0.7459
258	gene expression regulation	-0.5883	-0.7111	2	12	36	5	2015	133.8	1.9943
283	genetic variability	0.7976	-0.0926	1	22	59	10	2010.5	29.6	0.6976
285	genetics	0.2635	-0.2571	1	30	159	24	2012.5833	90.875	0.9845
292	genotype	0.3669	0.1316	1	24	57	7	2012.2857	80.1429	0.8503
307	gossypium	1.1562	0.1572	1	16	66	7	2008	92.1429	0.9025
309	gossypium hirsutum	1.0559	0.2805	1	16	66	7	2008	92.1429	0.9025
318	growth rate	-0.8228	0.6175	3	8	16	5	2010.4	66.6	0.985
320	"growth, development and aging"	-0.2503	-0.2382	2	24	74	14	2012.3571	115.0714	1.1763
412	maize	-0.451	0.0854	3	29	86	22	2013	75.7273	1.0041
427	metabolism	-0.6331	-0.5088	2	20	87	16	2014.25	82.0625	1.2084
452	musa	-0.5232	0.4798	3	13	17	7	2006.7143	50.4286	0.8466
469	nonhuman	-0.0994	0.0801	3	26	41	9	2008.5556	88.6667	1.2736
483	oryza sativa	0.0135	-0.4091	2	14	18	6	2008.8333	98.5	1.3501
500	phenotype	0.5295	-0.0519	1	24	83	13	2010.6923	62.3846	1.0015
509	physiology	-0.5428	-0.335	2	20	79	14	2014.5714	87.8571	1.4846
514	plant	-0.2426	0.3544	3	33	65	14	2012.5714	62.6429	0.992
522	plant leaves	-0.8567	-0.5238	2	12	27	5	2013.4	67	1.0024
530	plant root	-0.5442	-0.1609	2	25	109	21	2015.3333	94.381	1.2362
569	quantitative trait loci	0.6392	-0.2426	1	23	61	10	2009.1	141.2	1.1844
585	restriction fragment length polymorphism	0.8423	-0.3079	1	16	33	5	2002.2	73.6	0.795
596	root architecture	-0.7683	0.6981	3	6	11	6	2008.5	47.5	0.8803
611	root system	-0.7874	0.4993	3	14	25	8	2012.625	58.25	1.154
660	soil	-0.8392	0.1691	3	15	42	10	2017.1	63.9	1.4036
724	transpiration	-0.6518	0.6092	3	8	11	5	2011.6	67.4	1.2648
746	water	-0.844	-0.2653	2	18	81	15	2016.2	71.8667	1.1959
750	water flow	-0.7639	0.3913	3	11	17	5	2015.2	40.4	0.7911
