id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
8	africa	0.4894	-0.4519	2	27	38	4	2021.25	21.75	1.3172
14	animal	-0.3067	-0.4501	1	31	61	6	2021.8333	19.6667	1.9874
16	animal migration	-0.0584	-0.6666	1	15	18	2	2021	20.5	1.1031
18	annual cycle	-0.3459	0.3896	3	15	17	2	2024	4.5	0.7125
23	aves	0.6661	0.112	2	23	29	4	2018	17.75	0.8372
29	belgium	0.1242	-0.1637	4	19	21	2	2020	21	1.4429
38	biotelemetry	0.0312	0.2918	4	16	19	2	2021	14	2.0554
39	bird	0.304	0.0355	2	43	102	13	2020.3077	15.6923	1.3254
40	bird migration	0.977	0.2534	2	7	7	2	2023.5	5	0.4545
47	breeding site	0.6369	0.3444	2	20	23	3	2021.3333	11.3333	0.8399
53	conservation	-0.7493	0.8894	3	7	7	2	2021.5	2.5	0.7543
64	ecosystem	-0.7023	-0.0047	1	27	37	4	2022	17.25	2.2023
70	europe	0.2231	-0.3753	2	19	22	2	2024	10	1.2625
77	flight activity	0.1287	-0.5663	1	24	32	3	2022	19	1.3051
82	foraging	-0.6302	-0.1443	1	20	30	3	2022	19.3333	2.606
83	foraging behavior	-0.1818	0.5145	4	24	42	5	2022.2	9.2	1.4521
84	foraging ecology	0.0227	0.8757	4	10	11	3	2020.3333	18.6667	0.9615
89	geolocator	1.279	-0.0982	2	9	13	2	2017	23.5	1.0071
91	gps	-0.3639	0.6065	3	28	46	6	2022.8333	5.5	1.277
95	grassland	-0.8563	0.2494	3	18	19	3	2019.6667	18.3333	1.6172
97	habitat composition	-0.7653	0.5464	3	8	8	2	2023	6	0.6
100	habitat selection	-0.5031	0.8406	3	15	22	3	2023	5.6667	1.0167
103	habitat use	0.1041	0.5405	4	19	25	3	2020.3333	13	0.9619
107	home range	0.2338	0.7778	4	12	16	2	2019	15	0.9929
110	human	-0.747	-0.6296	1	15	18	2	2020	28	2.442
111	insect	-0.7872	-0.3188	1	15	19	2	2020.5	26.5	2.3466
119	land use changes	-0.7337	0.7217	3	11	14	2	2024	5	1.025
126	light	-0.0961	-0.3734	1	20	24	2	2024	12	2.5125
128	light pollution	-0.1881	-0.2207	1	23	33	3	2023.6667	11	1.975
146	migration	0.5948	-0.0478	2	25	34	5	2020.4	22.4	1.1106
151	migratory species	0.8759	0.0795	2	14	16	2	2021	5	0.5054
152	mongolia	0.6109	-0.326	2	18	19	2	2022.5	14.5	1.4045
161	multi-sensor logger	-0.1934	0.2512	4	13	14	2	2022.5	15.5	2.0625
172	nightjar	0.272	0.2472	2	41	88	14	2021.0714	12.3571	1.0627
175	nonhuman	-0.4893	-0.6935	1	20	23	2	2020.5	31.5	2.8466
179	owl	-0.2342	-0.787	1	19	21	2	2022.5	15.5	1.4955
188	physiology	-0.5694	-0.3435	1	25	38	4	2022	17.5	2.2273
190	population dynamics	-0.4933	-0.5611	1	20	23	2	2020.5	31.5	2.8466
191	population migration	-0.3688	-0.0655	3	22	26	3	2021.6667	16.3333	1.0021
198	reproduction	-0.9761	-0.3276	1	12	12	2	2021	24	2.3966
203	season	0.0572	-0.7723	1	15	18	2	2021	20.5	1.1031
204	seasonality	0.3717	-0.1882	2	16	19	2	2022.5	15	0.8702
219	stopover	1.1529	0.0166	2	12	19	3	2018.6667	19	0.9745
220	stopover site	1.163	0.1644	2	11	13	2	2019.5	9.5	0.6474
222	strigiformes	-0.1307	-0.8759	1	19	21	2	2022.5	15.5	1.4955
233	tracking	-0.1782	0.6717	3	23	38	7	2023	4.5714	0.791
244	wintering areas	1.33	0.0318	2	9	13	2	2017	23.5	1.0071
