id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	air-sea interaction	0.4115	-0.7083	1	26	71	14	2012.6429	45.9286	0.8003
31	antarctic	-0.8454	0.5135	2	24	100	13	2013.3846	67.6923	0.7244
41	antarctica	-0.0854	0.3406	2	34	141	24	2013.3333	35.875	0.8328
44	arctic	0.1934	0.4097	1	34	146	24	2014.2917	61.75	0.8947
50	arctic ocean	-0.4034	-0.4107	2	31	159	31	2014.0645	101.5161	0.9808
63	atlantic ocean	0.839	-0.0314	1	25	73	14	2012.2143	72.0714	0.9693
72	atmosphere-ice-ocean system	-0.0181	0.0347	1	32	63	11	2006.9091	78.2727	1.0351
73	atmosphere-ocean coupling	0.5162	-0.323	1	27	61	10	2008.4	268.4	1.8829
88	atmospheric forcing	-0.6482	-0.5099	2	26	68	10	2015.8	25.6	0.7133
141	carbon dioxide	1.0185	0.2381	1	21	39	8	2007.5	191.75	1.4753
156	climate change	0.4313	0.1947	1	34	172	33	2009.1212	165.0909	1.2893
162	climate forcing	0.8488	-0.2928	1	21	37	8	2010.75	43.75	0.3705
177	climatology	-0.3333	0.0931	2	33	113	15	2008.6667	118.4	1.1363
328	general circulation model	0.2815	-0.4463	1	27	86	16	2013.5	174.3125	1.2671
349	global warming	0.442	0.6665	1	23	54	8	2008.75	279.375	1.7159
353	greenhouse gas	0.5838	-0.0662	1	24	50	8	2007.875	227.375	1.1507
357	greenland	0.8591	0.4576	1	21	51	8	2010.625	77.25	1.0699
387	holocene	0.8429	-0.4887	1	27	72	16	2005.75	170.1875	1.0516
392	ice	-0.2576	0.6815	2	30	120	16	2009.5	63.25	0.8678
399	ice cover	-0.0153	0.8249	2	25	60	9	2012	66.3333	0.862
400	ice drift	-0.8543	-0.7043	2	19	42	8	2014.5	50	0.8969
414	ice sheet	0.6921	0.5681	1	26	76	13	2009.3846	67.4615	1.1427
420	ice thickness	-0.9993	-0.3158	2	26	133	24	2014.4583	47.7083	0.677
424	ice-ocean interaction	-1.0745	-0.0233	2	24	97	20	2015.65	66.35	0.9822
540	modelling	0.1802	-0.0509	1	36	455	97	2010.4948	95.4845	1.0037
604	oceanography	-0.5461	0.6362	2	30	160	26	2011.7692	56.6154	0.7019
625	paleoclimate	1.0933	-0.2633	1	20	57	14	2007.5714	160.9286	1.0889
630	parameterization	-1.0689	0.3452	2	20	47	8	2011.75	72.125	0.9774
693	salt stress	-0.7953	-0.0342	2	24	81	12	2007.9167	70	0.5152
701	sea ice	-0.5103	-0.1263	2	35	424	95	2013.3158	72.2105	0.9239
720	sea surface temperature	0.0945	-0.6842	1	27	70	14	2013.0714	97.2143	0.9958
731	seasonal variation	-0.3363	-0.7439	2	20	38	8	2018.125	29.25	0.8699
740	sensitivity analysis	-0.1384	-0.1933	1	30	82	13	2010.7692	71.2308	0.7022
745	simulation	0.057	-0.3503	1	33	109	21	2010.8095	86	0.8573
770	southern ocean	-0.3838	0.3507	2	36	205	34	2012.4412	55.4706	0.8925
838	thermodynamics	-0.751	0.2438	2	27	84	16	2009.8125	122.3125	0.98
839	thermohaline circulation	0.6802	0.1683	1	22	44	9	2002.1111	123.6667	1.1751
