id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	agricultural economics	0.6406	-0.0671	1	29	92	10	2013.2	29.4	1.0323
7	agriculture	0.2301	-0.2039	1	31	91	9	2012.1111	105.6667	1.2301
13	archaeology	0.2271	0.1752	1	29	82	8	2011	116.75	1.2589
17	biology	-0.4232	-0.5172	3	29	67	9	2010.8889	25.3333	0.6945
19	business	0.4279	0.0162	1	25	70	8	2012	63.125	0.9944
21	cartography	-1.1747	-0.1406	3	14	27	3	2003.6667	230.6667	0.706
23	chemistry	0.238	-0.8444	1	16	22	3	2015.3333	30.6667	1.1077
27	cointegration	0.7113	-0.7044	1	15	23	3	2020	39.6667	1.3074
34	computer science	-0.2235	0.1345	2	24	42	6	2008.3333	84	0.9542
36	context (archaeology)	0.9019	0.0971	1	21	32	3	2015.3333	43	1.2658
44	demographic economics	-0.1036	0.9306	2	18	24	3	2008.3333	29.6667	0.9901
55	ecology	0.548	-0.3653	1	26	46	5	2011.8	35.8	1.075
56	econometrics	0.1684	-0.466	1	25	48	6	2011.6667	149.5	1.2075
58	economic growth	0.5167	0.7528	2	22	45	5	2007.8	77.4	1.061
63	economics	-0.0098	0.0568	1	32	170	22	2010.1818	75.7727	1.0569
74	epistemology	0.4948	0.4115	2	21	38	4	2006.5	91.5	1.2195
79	finance	-0.4924	0.6949	2	23	49	6	2005.5	191.8333	1.2459
80	financial economics	0.4495	-0.6668	1	18	22	3	2018	9	0.9583
90	geography	-0.3681	-0.2357	1	32	109	12	2011	82.75	1.0199
112	law	-0.527	0.3312	3	29	98	11	2007.4545	104.5455	0.8274
120	market economy	0.9488	-0.312	1	18	24	3	2015.6667	35.6667	1.3908
126	mathematics	-0.0978	-0.2214	1	24	31	4	2006	61.75	1.1192
130	microeconomics	-0.1696	0.3745	2	27	46	6	2006	141.1667	1.0497
135	natural resource economics	-0.067	-0.544	1	26	50	5	2010.8	181.6	1.4392
146	payment	-0.3982	0.9383	2	14	19	3	2007.3333	40.6667	1.0734
147	philosophy	0.2284	0.556	2	27	61	6	2006.5	67.5	1.1047
148	physics	-1.0115	-0.5706	3	10	18	3	2005.3333	36	0.733
150	political science	-0.7333	0.3242	3	29	98	11	2007.4545	104.5455	0.8274
151	politics	-0.6812	-0.0301	3	28	75	8	2007.5	98.625	0.7028
155	poverty	0.2271	0.9249	2	20	42	5	2008.6	78.4	1.011
162	production (economics)	0.8254	0.3344	1	23	34	3	2012	35.6667	1.3074
179	scale (ratio)	-1.1544	-0.3437	3	14	27	3	2003.6667	230.6667	0.706
190	sociology	-0.1485	-0.8201	1	15	18	3	2015.3333	41.3333	1.3022
