id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
16	adsorption	-1.0878	-0.1868	3	9	15	5	2005	15.6	0.6161
43	anaerobic digestion	-0.1654	0.3336	2	26	83	15	2015.8667	35.0667	1.1032
49	anaerobiosis	-0.5389	0.6623	2	14	32	5	2014.8	59.2	1.7026
57	anoxic conditions	-0.484	0.3914	2	18	41	6	2014.6667	26.8333	0.8407
101	biogas	0.1996	0.5522	2	23	77	15	2014.8667	39.1333	1.2228
108	biomass	0.4869	0.1887	4	25	82	15	2016.4667	41.0667	1.2044
120	biorefinery	1.1136	-0.2894	4	10	23	6	2020.8333	35.5	1.1373
137	carbohydrate	0.2377	-0.0298	1	21	40	6	2015	41.5	1.0032
163	cellulose	0.4241	-0.2975	1	21	46	11	2015.3636	31.5455	0.9922
172	chemical composition	0.6662	0.4215	4	15	24	6	2014.6667	63	1.2161
181	chemistry	-0.2504	0.1298	2	19	28	6	2012.8333	35.1667	1.2689
260	enzyme	-0.8601	-0.0978	3	14	22	6	2007.1667	20.6667	0.7372
261	enzyme activity	-0.8982	0.0901	3	14	24	5	2010.8	20.6	0.6232
270	ethanol	1.1127	-0.1143	4	11	21	5	2018.8	42	1.1594
292	fermentation	0.3381	-0.5756	1	18	25	7	2019.1429	11.7143	0.5343
300	fiber	0.7838	0.1465	1	12	24	5	2014	40.4	1.021
335	fruit	1.112	0.0709	4	12	19	5	2018.4	39	0.9102
340	fungi	-1.1291	-0.4548	3	8	14	6	1999.3333	39.6667	1.0717
382	hemicellulose	0.7083	-0.3389	1	17	32	7	2013.8571	38.4286	0.9123
402	hydrolysis	-0.0692	-0.1393	1	22	45	7	2016.2857	27.5714	0.9767
445	lignin	0.692	-0.1088	4	22	37	7	2018.5714	36.8571	1.2861
452	lignocellulose	0.5425	-0.4702	1	20	41	7	2017.5714	34.5714	1.3605
470	maize	-0.1345	0.8602	2	11	22	5	2011.2	60.4	1.8978
484	metabolism	-0.2705	0.5757	2	16	35	7	2015.8571	45.1429	1.5273
490	methane	0.0311	0.3443	2	23	58	10	2017.8	31.7	1.0535
561	nonhuman	-0.5919	-0.0322	3	25	68	16	2006.6875	40	1.2817
603	phanerochaete chrysosporium	-1.28	-0.4519	3	3	8	5	1995	68.8	1.5226
661	protein	-0.6327	-0.3068	3	16	26	7	2007.7143	12.7143	0.6604
771	substrate	-0.1214	-0.5456	1	17	28	6	2014.3333	14.5	0.6841
841	volatile fatty acid	0.0654	-0.3274	1	18	30	6	2018.8333	16.1667	1.015
