id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
51	bacillus	-0.4333	0.0629	2	32	178	27	2016.8889	24.6667	1.0123
68	bacteria	-0.9426	-0.6329	3	14	24	6	2015.5	44	1.1334
72	bacterial gene	-0.0948	0.3216	2	26	51	5	2018.2	26.4	1.0352
74	bacterial genome	-0.0268	0.8557	2	20	51	5	2018.4	20.6	1.0893
83	bacterial strain	-0.0232	0.5918	2	29	91	9	2016.7778	26.1111	1.1057
89	bacteriology	-0.8289	-0.3956	3	20	38	7	2016.4286	18.7143	0.903
91	bacteriophage	-0.5742	-0.5991	3	25	72	14	2019.4286	57.9286	1.0863
95	bacterium conjugation	-0.384	0.9119	2	20	52	6	2018.3333	14.5	0.7295
104	base sequence	0.6917	0.6305	1	23	56	5	2016.8	14.8	0.7346
107	begomovirus	1.1768	-0.3519	1	16	35	5	2016.8	9	0.2021
153	chemistry	-0.4651	-0.3585	3	26	43	6	2015.5	30.6667	1.3789
162	classification	0.3705	-0.7051	1	28	81	13	2017.6154	48.4615	1.2128
171	conjugation	-0.634	0.6076	2	25	50	6	2018.5	15.8333	0.7022
205	dna sequence	0.8372	0.3514	1	26	81	7	2016.4286	17.7143	0.6979
211	"dna, viral"	0.8836	-0.2791	1	22	55	5	2015.8	15.2	0.4802
214	ecology	-0.692	-0.185	3	21	33	5	2019.4	13.8	0.4237
268	gene sequence	-0.3278	0.5583	2	21	43	5	2019.2	61.4	2.1035
286	genetic variability	0.4194	-0.3764	1	26	46	6	2016	125	1.1041
287	genetics	0.09	-0.1406	1	34	177	22	2018.0455	43	0.9534
334	human	-0.7452	0.1785	3	17	24	5	2022.4	84.4	0.7101
393	metabolism	-1.0413	-0.2603	3	17	32	5	2019.2	18.8	0.9669
400	microbiology	-0.1808	-0.0122	2	24	42	5	2018.2	21	0.662
427	nonhuman	0.0981	0.197	2	34	162	21	2017.5238	57.3333	1.1326
431	nucleotide sequence	0.4648	0.3391	1	31	126	12	2017.5	23.5	0.9545
462	phylogeny	0.617	-0.1671	1	26	82	11	2018.4545	85.3636	0.9663
464	physiology	-0.9197	-0.0273	3	19	33	5	2016	20.6	0.9772
469	plasmid	-0.5205	0.3883	2	31	103	11	2018	23.7273	1.05
480	polymerase chain reaction	0.3055	0.595	2	28	74	8	2016.375	35.875	1.2696
532	sequence alignment	0.3471	-0.0024	1	29	53	5	2017	14.2	0.4932
534	"sequence analysis, dna"	0.733	0.1482	1	28	90	8	2016	18	0.7357
590	tectivirus	-0.0785	-0.3424	2	21	38	5	2016	29.6	1.0469
620	venezuela	1.192	-0.1288	1	16	35	5	2016.8	12.6	0.3269
625	virology	0.097	-0.6399	1	31	114	15	2018	31.6	0.9951
628	virus	-0.2455	-0.5738	3	28	47	7	2017.2857	81.2857	1.2943
636	virus genome	0.8347	-0.5595	1	24	64	7	2017.4286	32.5714	0.7092
