id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	air temperature	-0.3938	-0.8381	3	29	91	15	2015.3333	46.6	0.7905
24	air-sea interaction	0.1236	0.762	1	28	91	19	2010.8421	53.8947	0.8813
43	antarctic	0.9912	-0.3202	2	26	113	17	2014.4118	44.8235	0.7073
52	antarctic ice sheet	0.152	-1.0471	3	23	62	13	2020.0769	28.3077	0.9356
59	antarctica	0.2665	-0.7427	3	37	244	46	2016.2826	38.8913	0.7935
66	arctic	0.3781	0.0559	2	36	140	23	2012.7391	100.7391	1.2684
70	arctic ocean	0.6038	0.685	2	32	135	23	2010.9565	31.0435	0.6404
82	atlantic ocean	-0.2861	0.7044	1	34	133	23	2011.4783	36.6957	0.9177
87	atmosphere-ice-ocean system	0.3623	0.8936	2	26	60	13	2007.7692	59.0769	0.9736
96	atmospheric circulation	-0.5485	-0.5991	3	32	86	14	2013.1429	37.7143	0.5962
115	atmospheric temperature	-0.0742	-0.3816	3	26	91	14	2012.0714	19.8571	0.2934
199	climate change	0.0551	0.1414	1	38	311	61	2012.4262	78	1.3624
207	climate forcing	-0.6312	0.6386	1	31	106	18	2011.2778	67.5	0.8692
219	climate variation	-0.6153	0.1742	1	34	157	29	2014.9655	55.5862	0.9274
221	climatology	0.7406	0.4403	2	34	143	22	2007.5455	46.6364	0.7751
250	cooling	-0.4599	0.4569	1	32	103	16	2011.4375	107.5	1.2987
270	data assimilation	-0.1772	-0.6451	3	32	159	30	2016.4667	25.1	0.4465
439	general circulation model	-0.0834	0.9189	1	29	72	14	2012.7143	63.1429	0.8497
475	global warming	0.0444	0.3659	1	33	93	15	2010.5333	48.8667	0.9791
480	greenhouse gas	-0.3253	0.1961	1	29	75	14	2009.7857	66.2143	1.342
530	holocene	-0.7721	0.4064	1	34	153	27	2010.6296	67.1481	1.2355
551	ice	0.9152	-0.041	2	31	130	20	2010.45	25.4	0.517
555	ice core	-0.1955	-1.0197	3	25	81	13	2018.9231	34.2308	0.6635
571	ice sheet	0.2047	-0.3872	3	31	85	16	2014	79.5	1.5558
576	ice thickness	1.1775	0.0911	2	23	94	15	2011.8	21.9333	0.3607
580	ice-ocean interaction	0.901	-0.6451	2	21	75	18	2014.4444	70.3333	1.0714
736	modelling	0.1508	-0.1099	2	38	652	139	2012.5396	49.2014	0.8289
776	northern hemisphere	-0.9892	0.1785	1	28	77	13	2010.6154	103	1.4032
825	oceanography	0.6037	-0.1003	2	37	227	37	2012.1081	35.8919	0.761
862	paleoclimate	-0.8963	-0.0481	1	36	252	54	2014.0185	62.7222	1.0594
938	proxy climate record	-0.909	-0.2804	1	34	164	26	2013.1538	61.7692	1.2049
956	radiative forcing	-0.3792	-0.1988	1	30	76	12	2012	55.5833	0.9966
961	reconstruction	-0.6037	-0.3653	1	36	216	35	2015.4857	92.0286	1.1715
1000	sea ice	0.6139	0.1748	2	38	457	97	2012.6186	46.8969	0.9345
1018	sea surface temperature	-0.1812	0.4935	1	33	104	21	2015.6667	31.8571	0.659
1037	sensitivity analysis	0.4734	0.4712	2	27	65	14	2010.5	52.1429	1.0685
1048	simulation	-0.13	-0.0024	1	37	226	42	2011.6429	71.3571	1.3142
1078	southern hemisphere	-0.6133	-0.0874	1	32	126	19	2015.4737	112.6316	1.4459
1080	southern ocean	0.5068	-0.3892	2	38	341	70	2013.9286	44.1571	0.8097
