id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
27	animal	-0.4175	-0.5182	4	28	54	8	2019	24.5	0.8886
33	anomalous diffusion	0.412	-0.7026	4	11	17	4	2014	51.25	1.355
35	anthozoa	-0.8953	0.1891	2	24	46	6	2016	41.3333	1.4064
52	australia	-0.4161	0.4836	3	30	98	12	2016.75	43.1667	1.8463
73	biological model	-0.0146	-0.4844	4	23	41	6	2016.1667	34.6667	0.9273
76	biophysical modeling	-1.1467	-0.2307	2	13	20	4	2022.5	32.25	1.4955
78	biophysics	-0.857	-0.0073	2	25	43	4	2022.75	13.75	1.4281
118	climate change	-0.8119	-0.3115	2	20	27	6	2021.8333	17.1667	1.0099
130	coastal ocean model	0.2415	0.1682	1	18	23	4	2022.25	12	0.7179
133	coastal zone	0.2727	-0.226	3	19	23	4	2020.5	19.75	1.7874
161	connectivity	-0.9608	-0.112	2	26	62	10	2020.8	34.5	1.5597
173	coral	-1.054	0.1291	2	22	42	5	2021.4	36.2	1.5591
176	coral reef	-0.5999	0.2246	2	34	139	18	2019.0556	32.1111	1.5733
179	coral sea	-0.404	0.662	3	29	90	10	2017.7	43.1	1.9151
214	diffusion	0.379	-0.6046	4	13	27	9	2013.3333	44.7778	1.0472
220	discontinuous galerkin	1.1405	-0.3005	1	8	16	4	2016	10.75	0.375
229	dispersal	-0.7125	0.3804	2	30	74	9	2022.3333	19.8889	1.8005
262	ecosystem	-0.4007	0.1978	3	22	42	6	2023.3333	9.1667	1.2131
286	environmental monitoring	-0.3505	-0.0265	3	27	44	6	2024	4.6667	0.4556
323	finite difference method	0.8909	0.0989	1	15	29	5	2007.8	25.8	1.0592
324	finite element	0.8466	0.4611	1	18	37	8	2007.5	37.625	1.0793
325	finite element method	1.0189	0.0414	1	24	68	17	2009.2353	27.9412	0.851
339	florida	-1.0453	-0.3413	2	15	23	4	2023.25	10.5	0.7689
376	galerkin method	1.0001	-0.3556	1	14	26	7	2014.1429	18.1429	0.5012
398	gravity wave	0.9714	0.3122	1	12	21	4	2008.75	19	0.7618
439	hydrodynamics	0.1588	0.42	1	35	88	17	2018.2941	25.4118	1.0838
493	larva	-1.185	0.0359	2	19	34	4	2021	34.75	1.8683
566	modelling	0.5009	-0.0941	1	39	116	26	2013.4615	37	0.9642
598	nonhuman	-0.2786	-0.2534	4	30	54	7	2022.5714	11	0.5606
606	numerical method	0.8871	-0.1384	1	16	28	6	2010	39.6667	0.9325
614	ocean currents	0.0586	0.1877	1	24	30	5	2020.4	10.8	0.6058
616	ocean model	0.4863	0.1306	1	16	23	4	2015.75	13.25	0.7908
625	oceanic circulation	-0.6181	-0.0471	2	26	35	5	2023.8	8.8	1.1877
628	oceanography	0.7143	0.2047	1	21	37	6	2011.8333	19	0.8723
652	pacific ocean	-0.0643	0.8522	3	14	27	4	2013	66.5	1.9085
675	physiology	-0.4694	-0.3586	4	29	41	4	2021.25	21	0.8392
706	prediction	-0.0505	-0.6561	4	16	23	4	2017.75	39	0.8662
729	queensland	-0.2712	0.408	3	30	98	11	2017.7273	43.1818	1.866
739	reef	-0.1415	0.5509	3	25	59	6	2019.3333	28.6667	1.5554
754	river	1.0178	-0.2104	1	9	14	4	2019.75	14	0.7166
776	seagrass	-0.2219	0.0947	3	19	46	5	2021.4	19.8	1.5826
807	shallow water equations	1.0778	0.2113	1	17	45	10	2008.3	27.2	0.9173
817	simulation	0.2931	-0.0253	1	33	60	10	2016.2	20	0.7202
895	theoretical study	0.2615	-0.7041	4	10	17	4	2013.5	37.25	1.158
951	united states	-0.6846	-0.2392	2	22	37	5	2024.2	6	1.0604
952	unstructured grid	0.7098	0.6154	1	13	19	4	2005.5	43.75	1.5655
955	unstructured meshes	0.7321	-0.1122	1	19	33	7	2016.5714	14.4286	0.5769
