id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
37	animal	0.1559	0.77	3	27	94	13	2015.2308	24	1.0904
43	apoidea	-0.8115	0.2273	1	25	53	7	2017	25.7143	0.7346
60	bee	-0.4355	0.6846	3	29	112	16	2016.625	21.1875	0.9225
68	bees	-0.0731	0.924	3	24	76	12	2016	31.9167	1.1564
71	belgium	0.2519	0.0054	2	31	84	17	2008.8235	35.6471	1.0945
124	bumblebees	-0.1647	0.5636	3	24	56	9	2012.6667	41	1.4283
128	calluna vulgaris	0.4846	-0.52	2	21	31	9	2001.5556	29.4444	1.0542
160	clonal growth	1.1516	0.0009	2	16	29	7	2010.4286	20.7143	0.6793
242	dicotyledon	-0.4272	-0.4849	1	21	41	7	2013.7143	30.5714	1.1675
295	ericaceae	0.6168	0.3303	2	25	66	15	2004.8	35.2667	1.0278
300	europe	0.0107	-0.1388	1	27	47	11	2012.3636	33	1.0126
330	floral trait	-0.5441	-0.7168	1	20	42	7	2016.5714	35.2857	0.991
332	flower	0.0282	0.4382	3	32	113	18	2015.3889	35.4444	1.2658
356	fruit	-0.55	-0.1586	1	22	39	7	2013.1429	34.8571	1.0151
367	gene flow	0.7909	-0.5537	2	17	31	7	2006.4286	27.1429	0.8564
374	genetic diversity	1.04	-0.3066	2	15	29	7	2004.7143	35.8571	1.2283
380	genetic structure	0.8146	-0.3409	2	20	41	10	2009.6	24.5	0.7636
381	genetic variability	0.8508	-0.0621	2	24	49	10	2008.6	28.3	0.9171
383	genetics	1.0254	-0.1427	2	17	32	8	2009.375	39.125	1.0658
428	hexapoda	-0.7828	-0.0301	1	28	111	17	2015.4706	37.2941	1.0276
452	inbreeding depression	-0.2198	-0.6586	1	22	36	7	2005	30	1.0705
460	insect	-1.0208	-0.1924	1	23	53	8	2013.125	58.125	1.3798
474	invasive species	-0.012	-0.5586	1	23	38	9	2010.2222	37.7778	1.1174
581	nectar	-0.7292	0.4705	3	27	108	23	2017.3043	47.1304	1.3553
643	physiology	0.3714	0.2965	2	30	74	10	2012.5	30.5	1.0579
650	plant	0.4359	0.6886	3	21	37	8	2013.375	29.75	1.2057
665	plant-pollinator interaction	-0.9755	-0.4427	1	23	53	8	2016.5	47	1.2292
671	pollen	-0.1301	0.2186	3	35	169	29	2017.4138	38.6552	1.0721
685	pollination	-0.2849	0.0241	1	34	193	33	2013.0606	30.9091	1.1571
693	pollinators	-0.4745	0.3006	3	29	136	21	2017.0952	29.7619	1.1607
734	pyrus communis	-1.1105	0.1385	1	14	31	7	2014.8571	28.5714	0.8302
755	reproductive success	-0.2857	-0.3194	1	30	75	10	2011	31	1.1883
770	rosaceae	0.5931	-0.1271	2	19	30	7	2010.7143	27.4286	0.75
783	seed	0.337	-0.3002	2	24	40	7	2010.2857	30.1429	0.8947
787	seed set	-0.7066	-0.4543	1	24	56	9	2010.8889	43	1.2938
906	vaccinium	0.7797	0.4272	2	23	65	17	2002.4118	34.4118	1.0539
