id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
129	chemistry	1.1909	-0.0748	1	24	79	8	2019.875	65.25	1.2788
237	dispersivity	-1.2271	-0.2221	4	18	33	8	2008.375	40.125	0.7841
245	drought	0.8846	0.2312	1	27	99	14	2019.3571	72.3571	1.375
247	drought stress	0.5977	0.3339	1	30	127	15	2019.5333	60.2667	1.2058
281	electrical resistivity	-0.9709	-0.5587	4	16	41	9	2012.2222	60.6667	0.8712
323	evapotranspiration	1.049	0.1113	1	30	148	19	2019.8947	57.0526	1.0681
350	flow of water	-0.6249	0.6719	2	29	142	17	2015	39.5294	0.8568
446	hydraulic conductivity	0.2521	0.0664	3	34	148	22	2015.4545	77.9545	1.15
452	hydraulic properties	-0.8495	0.4311	2	26	93	14	2011.4286	61.0714	0.9552
457	hydraulics	-0.2505	0.6225	2	34	137	16	2015	59.8125	1.1936
532	leaf water potential	0.5276	0.0794	3	29	73	8	2021.875	44.5	0.8707
559	maize	0.243	-0.5597	1	35	113	21	2018.2857	54.1905	1.0813
589	metabolism	1.12	-0.4628	1	19	74	11	2017.0909	81.5455	1.1151
612	modelling	-0.6728	-0.1452	4	34	265	48	2013.25	92.2917	1.1266
719	physiology	1.1137	-0.2483	1	24	109	14	2019	56.2857	1.0654
722	plant	0.0283	0.508	2	34	166	20	2016.05	64.75	1.0845
734	plant root	0.7772	-0.4804	1	30	132	18	2019.1111	60.3333	1.0867
740	plant transpiration	0.7506	-0.0591	1	34	148	16	2018.4375	67.3125	1.2698
743	plant water relation	0.3177	0.3704	3	30	67	8	2017.625	61	1.3279
827	rhizosphere	0.0377	-0.3864	3	36	172	26	2019.8462	37.7308	0.9728
837	root architecture	-0.4991	-0.3002	2	32	99	14	2016.8571	56.2143	0.9839
861	root system	-0.3218	0.2649	2	35	232	30	2015.3667	56.8	0.9136
868	root water uptake	0.3828	-0.312	3	32	111	21	2019.0476	30.4286	0.7641
874	root-water uptake	-0.5154	0.4639	2	31	119	13	2015.6154	66.1538	1.1246
918	simulation	-0.2908	-0.3628	2	29	72	13	2015.7692	43.4615	0.7611
927	soil	0.0989	-0.1888	1	36	309	54	2014.7407	73.5926	1.1754
960	soil moisture	-0.4693	0.0111	2	35	213	29	2016.6897	70.1034	0.9936
992	soil water	-0.2389	-0.072	2	36	289	41	2014.9756	60.7073	1.0644
997	soil water potential	0.1661	0.6677	3	32	134	15	2019.1333	34.6	0.8333
1004	soil-vegetation interaction	-0.2628	-0.6173	3	20	41	8	2012.875	75.25	0.8549
1017	solute transport	-1.0665	-0.2236	4	22	68	18	2008.1111	34.3889	0.844
1123	tomography	-1.0968	-0.4986	4	16	41	8	2011.125	75.5	0.9134
1138	transpiration	-0.0339	0.0629	3	36	218	29	2017.3793	46.9655	0.7691
1202	water	0.8292	-0.2697	1	31	181	25	2018.2	63	1.3516
1204	water content	-0.9087	0.0725	4	30	125	16	2013.25	78.625	0.9662
1211	water flow	-0.6558	0.2153	2	30	172	26	2014.4231	31.6538	0.6359
1228	water uptake	-0.0718	0.3103	2	35	218	31	2016.3871	65.7097	0.9814
1243	xylem	0.6602	0.5478	1	27	76	9	2018.3333	99.7778	1.5844
