id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
68	brightness temperature	-0.8619	-0.1019	2	24	82	11	2015.1818	24.3636	1.0447
85	catchment	-0.8359	-0.5079	2	17	42	6	2016.5	23.8333	1.0665
89	chlorophyll	1.1504	0.0832	1	14	38	6	2022.1667	29.6667	1.3515
95	climate change	0.9814	0.341	1	16	31	7	2021.5714	100	1.3331
111	crop	0.6069	-0.6504	1	22	44	9	2019.4444	21.1111	0.9202
141	drought	0.7664	0.2722	1	20	48	7	2021.2857	20.7143	1.1614
142	drought stress	0.8656	0.1274	1	20	42	8	2018.875	33.625	1.2438
149	ecosystem	0.7469	-0.2105	1	23	35	7	2020	116.1429	1.7613
192	field experiment	-1.0076	0.1819	2	21	46	6	2016.5	17.6667	0.588
201	fluorescence	1.1072	-0.0843	1	14	38	6	2022.1667	29.6667	1.3515
213	forestry	0.4742	0.0822	1	22	36	9	2018.4444	38.6667	1.5945
231	geology	-0.4519	-0.0312	4	25	53	8	2016.625	1.625	0.2856
248	ground penetrating radar	-0.1759	0.7631	3	19	68	16	2015.625	29.6875	1.0936
317	l-band	-0.0927	-0.4622	4	21	44	7	2020.2857	5.1429	0.5276
331	lidar	0.8616	-0.5092	1	6	8	7	2022.5714	25.5714	1.1917
347	luminance	-1.1237	-0.2191	2	18	47	6	2017.8333	12.1667	0.4149
366	microwave	-0.2511	-0.1915	4	24	52	9	2018.2222	13.4444	1.1413
373	microwave radiometer	-0.3008	0.5171	4	17	33	6	2018	18.6667	1.0943
392	modelling	-0.1191	0.0848	2	28	62	12	2017.0833	88.5	1.7826
397	moisture control	-0.712	0.388	4	19	41	6	2016.5	30	1.1965
432	optical properties	0.3074	-0.6383	1	25	57	8	2020.25	11.75	0.5199
465	permittivity	-0.7099	0.1166	2	21	36	6	2017.6667	17	1.3756
506	radar	-0.551	0.5538	3	25	72	11	2016.2727	34.8182	1.282
513	radiative transfer	-0.296	-0.4423	2	26	57	8	2016.375	30.875	1.4761
520	radiometry	-0.5563	-0.2075	4	29	120	18	2017	17.2222	0.8523
532	remote sensing	0.0968	-0.0166	1	34	190	35	2018.3429	18.1143	0.7649
570	scattering	-0.3191	0.8826	3	12	20	6	2018.1667	14.1667	0.8055
596	soil	0.1037	0.2976	3	31	73	15	2017.1333	64.5333	0.9342
607	soil moisture	-0.0927	0.3022	3	34	195	34	2017.9706	27.4118	1.0893
609	soil moisture active passive (smap)	0.3099	-0.1937	1	29	62	9	2020.7778	14.2222	1.0033
611	soil moisture and ocean salinity (smos)	-0.2776	-0.7306	2	22	54	7	2018.1429	25.5714	1.1358
633	soil water	0.5636	0.7543	3	9	17	6	2015.8333	62.6667	1.4817
684	temperature	-1.0393	-0.4273	2	18	54	7	2017.1429	18.5714	0.4903
734	vegetation	0.1654	-0.3561	1	32	105	15	2020.0667	14.4667	0.7899
742	vegetation optical depth	0.5259	-0.4587	1	22	58	10	2020.8	7.2	0.5586
760	water content	0.1415	0.6914	3	23	62	11	2016.1818	45.3636	1.3066
