id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
28	africa	0.7986	-0.829	3	20	63	24	2003.2917	119.5833	1.2402
58	agricultural intensification	-0.0335	0.7959	1	27	62	11	2011	351.7273	2.086
59	agricultural land	-0.3594	-0.3034	2	22	39	13	2015.3077	112.7692	0.6493
73	agriculture	-0.6553	-0.3133	2	33	144	31	2013.0968	587.7742	1.4671
103	animal	-0.4846	-0.9337	2	26	93	18	2010.6667	775.9444	1.1743
175	biodiversity	-0.6864	-0.0344	2	32	91	25	2013.04	767.2	1.3368
257	certification	-0.8301	0.5198	1	23	56	13	2016.4615	102.9231	1.0771
280	climate change	-0.3538	-0.5726	2	30	98	30	2011.6	633.5	1.0884
344	conservation of natural resources	-0.9325	-0.3851	2	31	120	20	2013.75	769.5	1.3215
412	deforestation	0.2565	0.2955	1	39	263	56	2011.7679	195.2321	1.315
425	desertification	0.698	-0.5736	3	18	39	12	2005.4167	295.3333	0.8466
499	ecology	0.1618	-0.0075	1	29	59	11	2006.9091	1255.2727	1.7143
516	ecosystem	-0.1857	-0.7493	2	35	152	36	2007.2222	593.8056	1.379
524	ecosystem service	-0.3799	0.2802	2	27	56	11	2013.9091	150.1818	1.1708
566	environmental impact	-0.0704	0.0373	1	31	91	20	2010.45	396.75	1.717
571	environmental monitoring	0.2489	-0.3822	3	28	51	11	2009.6364	238.1818	1.2038
573	environmental policy	-0.5946	0.1782	2	29	60	11	2015.8182	351.5455	1.7678
576	environmental protection	-0.9754	-0.0938	2	31	101	17	2016.2353	250.9412	1.3586
672	forest cover	0.6024	0.4274	1	32	90	15	2011.5333	182.4	1.4456
688	forest management	0.288	0.8038	1	26	61	14	2015.0714	139	0.9582
694	forest transitions	0.5549	0.7052	1	27	68	11	2010.7273	572.1818	2.4978
696	forestry	-0.1091	0.3048	1	32	88	16	2012.75	118.8125	1.054
700	forests	-0.0893	-0.2053	2	32	91	17	2011.7059	275.3529	1.1179
754	governance approach	-0.3839	0.8788	1	23	50	13	2017.3846	84.2308	1.0839
811	human	-0.7192	-0.744	2	29	116	26	2014.1923	555.5	1.2137
924	land cover	0.5782	-0.2401	3	36	143	38	2006.4737	214.0263	1.1546
940	land use	0.0391	-0.4183	2	37	261	65	2010.6462	389.3846	1.0915
943	land use changes	0.4729	0.0677	3	37	240	62	2007.2903	229.371	1.3148
947	land use planning	0.087	0.9836	1	21	53	12	2015.3333	124.5833	1.2553
969	landscape	0.0656	-0.8184	2	24	54	14	2006.4286	276.7143	1.2277
1070	modelling	0.7251	0.0767	3	30	67	17	2004.1176	149.9412	0.8763
1132	nature-society relations	0.0051	0.5066	1	25	48	12	2010.75	673.1667	1.9074
1340	reforestation	0.353	0.5066	1	31	86	14	2012.3571	352.2143	1.9172
1351	remote sensing	0.9302	-0.3821	3	28	145	57	2001.807	96.9298	0.7764
1601	sustainability	-0.3583	0.6111	1	32	101	34	2015.4412	366.3529	1.332
1606	sustainable development	-0.6176	0.6718	1	27	58	14	2016.8571	300.3571	1.6075
1686	tropical forest	1.0125	0.3082	3	20	56	14	2009.3571	179.1429	1.314
1694	tropics	1.0212	-0.1155	3	23	45	11	2006.9091	294.2727	1.2225
1701	united states	-0.4306	-0.0773	2	24	38	11	2018.0909	52.8182	0.8827
1728	vegetation	0.3505	-0.7805	3	25	57	16	2006.25	67.0625	0.5431
