id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
47	antenna	-0.174	-0.336	1	39	343	55	2013.1636	25.7091	1.0206
60	antenna grounds	-0.8925	0.0816	1	32	111	14	2011.7857	17.0714	0.6865
125	calibration	0.2521	-0.0023	3	33	98	16	2014.75	39.9375	1.7078
263	dielectric permittivities	-0.3649	0.2753	1	36	189	22	2013.7273	17.0909	0.7798
317	electric conductivity	0.3964	0.5765	3	37	153	20	2012.4	43.05	1.3332
324	electric network analyzers	-0.709	0.3131	1	37	153	18	2013.1667	24.4444	0.9052
331	electrical conductivity	0.5395	0.7793	3	34	154	23	2013.4348	34.6957	1.3765
339	electromagnetic induction	0.2296	0.8657	3	31	104	17	2013.8824	21.7647	1.026
345	electromagnetic method	1.0147	0.4114	3	27	77	13	2012.9231	45.4615	1.8233
446	frequency dependence	-0.0866	0.7548	3	29	71	13	2012.5385	14.3846	0.8008
449	frequency domain	-0.6992	-0.2929	1	35	103	13	2012.2308	51	1.1559
450	frequency domain analysis	-0.3473	-0.5717	1	35	190	24	2015.3333	46.0833	1.5655
462	full wave inversion	-0.7328	0.7124	1	33	114	15	2012.2	24.2667	0.9652
465	full waves	-0.0614	-0.8594	4	33	100	14	2019.4286	27.8571	1.4895
517	green function	-0.3533	-0.1981	1	38	258	37	2012.3243	29.7297	1.0299
519	ground penetrating radar	0.0565	-0.1491	1	39	837	159	2013.4591	28.1132	1.1024
561	horn antennas	-0.9424	-0.2576	1	32	121	16	2014.375	28.9375	1.2102
568	hydraulic properties	1.109	-0.4676	2	21	62	13	2008.9231	38	0.9628
639	inverse modeling	0.6158	-0.6138	2	34	177	26	2007.6154	58.5385	1.4015
640	inverse problem	0.0198	0.1228	2	39	253	36	2011.9722	33.1111	1.0745
742	mapping	0.1684	0.3946	3	32	99	13	2018.3846	39.8462	1.8816
755	maxwell equations	0.006	-0.5982	2	35	116	16	2010.0625	26.25	1.0843
802	modelling	0.4319	-0.276	2	39	226	35	2010.8286	43.1143	1.5574
819	multi-layered media	-0.4425	0.5765	1	28	103	13	2011.2308	9.3846	0.3688
860	nondestructive examination	-0.7166	-0.6874	1	29	82	13	2015.3077	29.2308	1.6499
932	permittivity	-0.0968	0.4369	3	38	287	38	2013.0526	37.0526	1.2871
997	radar	-0.2842	0.0502	1	39	451	69	2013.5652	22.3623	1.0704
999	radar antennas	-0.5844	-0.4922	1	38	242	35	2013.8286	15.1429	0.9131
1007	radar imaging	-0.416	-0.8964	1	30	78	13	2017.8462	30.1538	1.414
1060	remote sensing	0.7073	0.5238	3	29	93	19	2015.2632	22.3684	1.1794
1166	simulation	0.3512	-0.5176	2	31	89	13	2009.7692	83.3846	1.6425
1178	soil	0.6815	0.1542	2	39	396	68	2011.8529	35.3971	1.2039
1207	soil moisture	0.4529	0.1651	2	38	308	46	2014.0217	35.9348	1.4162
1234	soil water	1.0941	-0.0838	2	31	121	21	2010.7143	61.1905	1.7201
1370	time domain analysis	0.2558	-0.7392	2	37	131	19	2013.5789	25.9474	1.0926
1371	time domain reflectometry	0.73	-0.3198	2	33	96	13	2012.8462	31.9231	1.589
1443	vector network analyzer	-0.8884	0.4714	1	33	155	19	2012.4737	21.1053	0.8037
1466	water content	0.7873	-0.0958	2	39	225	33	2012.2727	55.3939	1.5945
1498	wave propagation	-0.6534	-0.0301	1	33	152	22	2012.7273	20.1818	1.0374
1502	waveform analysis	-0.454	0.8192	1	33	124	18	2011.7222	32.2778	1.3981
