id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
56	ascomycetes	-0.8506	0.5099	1	20	50	6	2018.1667	19.1667	1.0906
57	ascomycota	-0.9456	0.3334	1	20	50	7	2019.1429	19.5714	1.3277
94	belgium	-0.1752	-0.4048	1	31	73	13	2011.6154	17.6154	0.9608
98	beta vulgaris	0.549	-0.7904	3	19	45	6	2013.6667	12.6667	0.8321
126	burkina faso	0.5766	0.6408	2	13	14	7	2018.4286	10.8571	0.6795
141	cereal	0.0991	-0.3968	1	26	41	6	2007	18.1667	0.7396
151	classification	-0.047	0.0896	2	28	57	6	2015.8333	7.6667	0.6647
263	epidemiology	-0.5342	-0.5181	1	21	28	7	2011.7143	10.5714	0.7273
267	europe	-0.5743	0.4107	1	19	29	6	2016	19.3333	1.171
289	fungal disease	-0.84	-0.5444	1	19	33	8	2016.125	15.5	0.6465
299	fungi	-0.7234	0.0864	1	25	56	10	2017	26.4	1.3631
300	fungicide	-1.156	0.0617	1	15	29	7	2019.2857	20.1429	1.0689
307	fusarium	-0.3416	0.5473	2	22	55	10	2018.1	16.9	1.0679
343	genetic variability	-0.2767	-0.0329	1	27	43	6	2014	19.6667	1.1021
344	genetics	-0.1013	0.3168	2	35	165	22	2016.4091	16.5	1.0286
417	isolation and purification	0.4715	0.3698	2	29	61	7	2014.2857	10.2857	0.6932
453	microbiology	-0.4326	0.1435	1	32	84	11	2016.9091	20.5455	1.0291
497	nonhuman	0.186	0.3135	2	28	66	13	2018.3846	30	1.3098
502	nucleotide sequence	-0.0401	0.7079	2	27	48	6	2014.3333	15.8333	0.9283
520	parasitology	0.7807	-0.3133	3	24	62	7	2011.7143	12.8571	0.8367
524	pathogenicity	0.4956	0.1382	2	27	54	8	2014.5	17.25	0.9746
547	phylogeny	0.1533	0.5792	2	24	42	7	2015.5714	15.2857	0.973
549	physiology	0.2963	-0.2352	3	33	86	10	2015.1	21.4	1.241
559	plant disease	0.195	-0.0406	3	36	160	20	2014.8	12.95	1.014
567	plant root	1.0562	-0.0137	3	23	55	7	2012	6.7143	0.5706
569	plant virus	0.8321	-0.0378	3	24	58	8	2013.25	9.5	1.0414
577	plasmodiophorida	0.7961	-0.5482	3	23	53	8	2014.25	23.5	1.3168
587	polymerase chain reaction	-0.3395	-0.6572	1	25	40	7	2015.5714	32.4286	0.8725
588	polymyxa	0.4377	-0.5019	3	29	94	21	2008.8571	18.3333	1.0507
669	rna virus	0.8027	0.2737	2	26	70	9	2014.7778	9.8889	1.019
728	solanum lycopersicum	0.2265	0.8768	2	15	17	6	2021	20.5	0.9241
741	spore	-0.4691	-0.868	1	18	27	6	2016	21.1667	0.628
759	sugar beet	1.14	-0.4202	3	17	36	6	2012.8333	15.5	0.7571
798	triticum	-0.9339	-0.0631	1	24	51	6	2014.5	6.6667	0.6314
799	triticum aestivum	-0.482	-0.2774	1	27	52	10	2011.2	20.1	1.0884
824	virology	0.913	0.4776	2	23	54	7	2014.4286	9.1429	0.8935
847	wheat	-0.7444	-0.2125	1	30	86	15	2013.7333	11.0667	0.9174
