id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
16	anatomy and histology	-0.0905	0.9605	3	24	63	7	2017.5714	63.8571	1.1846
17	arabidopsis	0.9507	0.3044	1	23	40	6	2017	119.8333	1.1887
19	arabidopsis thaliana	0.9645	0.0959	1	16	19	4	2018.75	110.5	1.2182
31	biological model	-0.3128	0.6893	3	23	47	7	2015.7143	81.8571	1.4752
32	biological transport	-0.7396	0.9043	3	18	35	3	2018.6667	79.6667	1.8779
45	carbon	-0.3151	-0.6227	2	14	18	5	2021	21.6	1.7222
48	chemistry	-0.888	0.3006	3	22	36	3	2017.6667	107.3333	2.1568
85	drought	0.0989	-0.1145	2	19	25	4	2021.25	54.5	2.194
86	drought stress	0.25	-0.3612	2	27	38	6	2022	59.5	0.9575
122	fspm	-0.6528	-0.5726	2	17	20	3	2018.6667	3.6667	0.7718
124	functional-structural plant model	-0.931	-0.7104	2	7	10	3	2016.3333	17.3333	1.4378
130	gene expression regulation	0.6595	0.6366	1	18	27	3	2018.6667	138.6667	1.3457
133	gene regulatory network	0.6938	0.4657	1	12	17	3	2015	137.3333	1.0938
142	genetics	0.5218	0.355	1	27	62	9	2018.2222	71.8889	1.3589
143	genome-wide association study	0.4284	0.5994	1	19	22	3	2021.3333	29.3333	0.9825
154	growth and development	-0.7977	-0.7718	2	11	16	3	2014.6667	9.6667	0.8125
158	"growth, development and aging"	0.0093	0.5603	3	35	101	12	2017.75	80.5	1.4279
167	hydraulic conductivity	-0.1718	-0.3924	2	23	31	4	2020.25	23.5	0.8774
175	image analysis	0.6821	-0.093	1	22	33	9	2017.8889	53.6667	1.34
177	image processing	0.7399	0.2407	1	19	29	4	2017	74.25	0.9066
210	maize	-0.6781	-0.0457	2	33	71	12	2016.5	63.9167	1.0707
219	metabolism	-0.3101	0.4396	3	35	108	12	2018.5833	74.0833	1.6331
228	modelling	0.0639	-0.6647	2	19	28	7	2020.5714	32	0.8928
239	nonhuman	0.52	-0.0694	1	30	49	6	2019.8333	80	1.1756
257	phenotype	0.28	0.1312	1	35	56	6	2022.3333	39.8333	2.8096
259	phenotyping	0.7557	-0.569	1	10	12	3	2020	32.6667	0.5602
262	phosphorus	-0.9414	-0.2084	2	15	22	4	2021.25	59.25	1.1794
266	physiology	-0.1351	0.3092	3	41	123	15	2018.2	46.3333	1.2161
268	pipeline	1.1234	-0.0268	1	11	15	3	2020.6667	28.3333	1.4232
269	plant	-0.3066	-0.7877	2	24	43	9	2017.3333	59.1111	0.9337
287	plant root	0.1528	0.3279	1	43	170	23	2017.6957	60.0435	1.1977
328	rhizosphere	0.0807	-0.3289	2	10	10	3	2019.6667	47	3.0352
332	root	0.6077	-0.4763	1	20	27	6	2019.3333	31.6667	0.6793
336	root architecture	-0.5335	0.3124	3	21	23	3	2016.6667	62.3333	1.4062
342	root growth	0.7866	-0.2904	1	19	27	3	2019.6667	78.6667	1.0843
346	root length	0.9921	-0.1758	1	14	17	4	2018.25	71.75	1.2728
350	root system	0.1069	0.0717	1	37	76	10	2019.9	34	1.2483
351	root system architecture	-0.5703	-0.208	2	18	25	4	2021	51.25	0.9904
375	simulation	-0.6244	0.6324	3	20	31	3	2019	61.6667	1.5671
380	software	-0.3339	0.9177	3	23	41	5	2017.4	65.2	1.1467
382	soil	-0.2213	-0.046	2	38	100	12	2017.8333	82.25	1.3758
438	transpiration	-0.09	-0.6041	2	7	8	3	2019.6667	36.3333	0.8371
439	transport at the cellular level	-0.8793	0.7601	3	18	35	3	2018.6667	79.6667	1.8779
453	water	-0.4242	0.0217	2	37	121	16	2018.9375	56.75	1.3329
457	water flow	-0.518	-0.3817	2	29	40	4	2018	42	0.9839
464	water uptake	-0.7878	-0.3168	2	28	42	5	2019	34.2	1.5721
468	wheat	0.3774	-0.4827	1	22	26	5	2022.4	10.6	0.9204
475	xylem	0.4072	-0.7158	1	15	15	3	2024.3333	1.6667	0.2022
