id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
154	atriplex	-0.8319	0.5287	3	29	127	17	2010.6471	92.8824	1.0717
156	atriplex halimus	-0.7442	0.7433	3	27	107	18	2010.5556	91.5	1.3103
181	bioaccumulation	-0.8109	-0.2441	1	32	216	29	2014.8621	45.5517	0.9196
243	cadmium	-0.2917	-0.7625	1	37	290	40	2014.975	43.2	0.7889
308	cell wall	0.5795	-0.73	2	31	80	19	2017.1579	105.6316	1.3791
492	drought stress	-0.4937	0.6272	3	32	119	23	2012	67.0435	0.9395
494	drug effect	0.3173	-0.2965	2	40	337	33	2015.303	62.8485	1.0105
667	gene expression	0.628	-0.477	2	34	116	18	2017.3889	45.0556	1.0653
669	gene expression regulation	0.8628	-0.2585	2	28	159	18	2014.6667	80.1667	1.2849
684	genetics	0.9458	-0.4312	2	31	195	25	2014.88	61.64	1.0387
726	"growth, development and aging"	0.5648	0.174	2	40	300	35	2014.2286	84.3429	1.1078
727	halophyte	-0.6648	0.2172	1	37	390	52	2015.4231	60.8654	0.9998
744	heavy metals	-0.6587	-0.6031	1	35	267	41	2016.5122	53.3415	0.99
927	lycopersicon esculentum	1.0131	0.3996	2	29	154	23	2013.0435	92.6522	1.2812
973	metabolism	0.4552	-0.0969	2	40	519	61	2014.3934	80.1311	1.1907
1036	nacl	-0.2103	0.8258	3	27	86	22	2010	159	1.104
1059	nonhuman	-0.2709	-0.4788	1	38	267	29	2015.7586	65.931	1.0265
1096	oryza sativa	0.0288	0.7973	3	25	82	35	2007.3429	123.1429	1.0171
1104	osmotic adjustment	-0.3788	0.914	3	25	79	18	2006.2778	101.2222	1.0756
1115	oxidative stress	-0.5367	-0.0132	1	37	129	19	2019.1053	50.6316	1.2016
1165	photosynthesis	-0.0028	0.0028	1	39	214	29	2016	44.4828	0.94
1180	physiology	0.4435	0.3906	2	40	310	41	2012.3902	71.0488	1.0078
1186	phytohormone	0.9946	0.1048	2	32	162	21	2015.7143	97.3333	1.2713
1187	phytoremediation	-0.8615	-0.5453	1	32	293	44	2017.7727	39.1136	1.0065
1192	plant	-0.3427	0.1206	1	40	329	45	2011.5778	92.6	1.1981
1209	plant growth	-0.5041	-0.2197	1	39	206	25	2013.92	81.48	1.2165
1211	plant growth regulators	0.833	0.0255	2	32	153	16	2014.5	117.1875	1.3988
1214	plant leaves	0.2647	0.0729	2	40	286	32	2012.9062	88.5938	1.2046
1223	plant protein	1.1015	-0.1745	2	29	144	18	2013.0556	76.2222	1.2054
1228	plant root	0.0767	-0.2566	2	38	331	37	2013.7838	78.6757	1.194
1262	polyamine	-0.0581	0.225	3	39	156	18	2012.2778	67.7222	1.2291
1437	salt stress	-0.0799	0.4606	3	40	495	89	2013.5843	80.6854	1.0761
1442	salt-tolerant plants	-0.2263	-0.1795	1	33	171	17	2014.4706	75.6471	1.0989
1463	seed	0.1041	-0.6966	1	32	113	16	2012.0625	47.5	0.8317
1468	seedling	0.0472	-0.4839	1	38	228	26	2015.3462	59.1923	1.1345
1483	shoot	-0.955	-0.028	1	31	121	16	2013.4375	51.875	0.857
1505	sodium chloride	0.152	0.3817	3	40	360	42	2012.2381	95.5952	1.2411
1524	soil pollution	-0.9916	-0.3706	1	33	148	19	2017	45.8947	1.2487
1532	solanum lycopersicum	0.8338	0.5206	2	31	162	30	2015.9667	92.0333	1.4456
1756	water	0.1922	0.6332	3	36	137	16	2010	113.125	1.2383
1804	zinc	-0.5243	-0.8189	1	34	212	29	2016.1034	46.3793	0.7598
