id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	acetylcholine	-0.6455	-0.7049	1	20	56	7	2001.4286	17.1429	1.4274
37	amino acid sequence	-0.2967	0.8299	3	22	82	8	2017.625	24.375	1.183
41	amphipholis squamata	-0.9136	-0.6695	1	21	107	15	2000.2	12.9333	1.1289
48	amphiura filiformis	-0.7508	0.1368	1	27	86	9	2009.5556	15.2222	1.0937
53	animal	0.0725	0.1901	3	39	357	49	2013.102	18.3469	1.088
56	animal cell	0.3179	0.4093	4	23	51	8	1993.625	9.625	1.1002
61	animal tissue	-0.235	0.3077	3	36	112	12	2012.1667	20.8333	1.0926
62	animalia	-0.1296	-0.2543	1	33	110	15	2001.7333	20.0667	1.1757
122	bioluminescence	0.1228	-0.3513	2	39	324	58	2011.7069	18.5	1.0949
173	chondrichthyes	1.0334	-0.4052	2	22	119	16	2011.8125	29.6875	1.1336
282	drug effect	0.0376	-0.6552	1	26	66	7	2002.4286	19	1.271
289	echinoderm	-0.9013	-0.0303	1	29	216	33	2008.2424	13.303	1.0506
290	echinodermata	-0.6846	-0.0701	1	29	193	23	2007.4783	15.7391	1.0967
334	etmopteridae	1.0501	-0.0585	2	22	79	13	2016.4615	22	0.91
339	etmopterus spinax	0.5803	-0.1737	2	28	142	18	2013.3333	26.4444	1.1174
357	female	0.8613	0.3202	2	25	80	9	2012.6667	19.1111	0.9691
359	fish	0.4694	0.591	4	16	54	10	1992.8	6.4	1.1143
388	gene expression	-0.7657	0.658	3	20	58	7	2017.2857	22.4286	1.0408
404	genetics	-0.3061	0.6154	3	27	109	13	2017.6154	15.8462	0.8511
435	histology	0.8098	-0.3333	2	20	60	8	2009.75	29.5	1.3748
509	light	0.3932	0.1708	2	28	85	11	2016.0909	16.6364	0.8061
529	luminescence	0.1899	-0.0663	4	39	307	46	2008.8696	16.2609	1.0978
530	luminescent measurements	-0.3309	-0.1618	1	33	103	14	2011.9286	17.2857	1.0361
539	male	1.0038	0.2026	2	25	65	7	2011	20.5714	1.0113
559	melatonin	0.6595	-0.5049	2	24	102	11	2013.0909	24	1.0573
568	metabolism	-0.0638	0.0726	3	39	213	25	2013.8	20.08	1.1058
644	nonhuman	0.0117	0.4439	4	38	212	30	2006.3	14.5333	1.0076
668	ophiuroid	-0.7416	-0.4725	1	22	113	15	2005.8	10.8667	1.0319
669	ophiuroidea	-0.9117	-0.2807	1	28	149	19	2003.1053	13.8947	1.0849
670	opsin	-0.5728	0.6917	3	21	62	7	2015.8571	25.5714	1.0964
699	oxygen consumption	0.6062	0.5751	4	14	41	8	1988.375	6.875	0.875
728	photocyte	-0.198	-0.6215	1	27	63	10	2012.6	13.9	1.0907
733	photophore	0.7302	0.1234	4	23	117	20	2008.2	18.35	1.2113
744	phylogeny	-0.4743	0.5142	3	25	78	9	2017.2222	24.3333	1.2333
748	physiology	0.3252	-0.2651	2	38	205	27	2012.1111	22.0741	1.0597
767	potassium chloride	-0.4998	-0.4572	1	21	54	7	2006.2857	15.1429	1.1571
779	prolactin	0.8599	-0.5903	2	21	90	10	2012.4	25.2	1.0796
862	shark	0.7578	-0.0962	2	28	231	39	2016	22.5385	1.0292
917	squamata	-1.0038	-0.4919	1	21	91	11	2000.4545	13.7273	1.1532
966	transcriptome	-0.4669	0.8621	3	21	70	8	2019.25	16.875	0.8738
