id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	air-sea interaction	-1.1566	0.1224	5	11	18	4	2018.5	162	1.8575
7	albedo	-0.8066	-0.3968	1	14	19	4	2023	16.5	0.9924
14	annual variation	-0.6438	-0.6193	1	17	30	6	2020.1667	21.1667	1.0852
17	antarctic	0.5741	0.7667	4	18	29	5	2017.4	49.6	0.9213
20	antarctica	-0.059	0.7077	1	24	48	10	2022.3	45	1.1279
22	arctic	0.3332	0.4775	4	31	88	18	2020	30.6111	0.9308
23	arctic and antarctic	-0.5654	0.7863	1	14	26	5	2021.8	10.4	0.7535
27	arctic ocean	-0.4109	-0.351	3	38	134	26	2018.9231	40.9615	0.9785
47	atmospheric forcing	-0.3704	0.3998	1	20	29	4	2019.25	22.5	0.4968
79	climate change	-0.1665	-0.3606	3	32	70	18	2019.3889	67.1111	1.3944
87	climate prediction	-0.3332	-0.675	3	22	56	11	2019.5455	40.3636	0.8747
93	climatology	0.468	-0.5418	2	26	44	5	2015.2	52.6	1.016
96	cmip	-0.903	0.4573	3	21	48	11	2021.0909	111.6364	2.1206
120	data assimilation	0.6437	0.2244	2	30	77	11	2016.9091	34	0.5705
152	ensemble forecasting	0.047	-0.8145	2	28	63	9	2019.7778	26.3333	0.9301
153	ensemble kalman filter	0.9739	-0.4138	2	21	36	4	2015.5	44.75	0.9808
180	forecasting	0.4608	-0.8774	2	23	57	10	2018.5	32.3	0.7982
191	general circulation model	-1.0211	-0.2056	5	17	33	6	2018.3333	77.5	1.0028
221	ice	0.6097	-0.33	2	21	27	4	2014.25	53.5	0.955
223	ice cover	-0.514	-0.0362	5	28	56	8	2020.625	43.375	0.9782
224	ice drift	-0.011	0.476	1	22	37	5	2017.4	26.8	0.6934
234	ice thickness	0.1497	0.0191	1	34	122	20	2018	35.05	0.8327
236	ice-ocean interaction	0.2298	0.2618	1	32	64	9	2020.2222	21.4444	0.5936
255	kalman filter	0.898	0.0697	2	24	52	7	2015.4286	45.7143	0.8529
292	modelling	-0.2556	-0.097	5	39	207	40	2018.65	61.325	1.1689
302	northern hemisphere	-0.2712	-1.1686	3	8	15	5	2019.2	29.2	1.1152
325	oceanography	0.6341	-0.0176	2	29	62	8	2017.875	39.625	0.9645
350	polar region	0.2394	0.7815	4	25	46	8	2020.875	81	1.162
359	predictability	0.8983	0.7523	4	9	16	4	2021.75	8.75	0.4539
360	prediction	0.9131	0.4862	4	16	25	5	2018.8	16.4	0.3708
398	satellite data	-0.3454	0.7204	3	15	23	4	2019.5	74	1.6312
405	sea ice	-0.0865	-0.0265	1	41	342	71	2019.4225	42.7183	1.0169
419	sea surface temperature	0.393	-0.0159	2	31	64	8	2018.375	33.75	0.911
426	seasonal forecasting	0.7634	-0.5615	2	24	47	7	2019.2857	31.5714	1.0369
427	seasonal variation	0.1927	-0.5115	2	30	63	9	2019.6667	25.7778	0.8803
428	seasonality	-0.7694	0.2313	3	13	25	5	2019.6	46.8	0.8344
436	simulation	-0.2746	0.157	1	33	71	12	2018.3333	35.9167	0.7222
452	southern ocean	-0.0414	0.251	1	34	87	15	2020.2	55.8	1.3925
477	summer	-0.8412	-0.069	1	14	22	5	2024	17	1.7023
485	surface water	0.8946	-0.1738	2	25	42	5	2017.4	21.2	0.671
501	thermodynamics	-0.5683	0.4363	1	24	53	10	2019	44.7	1.0226
525	weather forecasting	0.0989	-0.3212	4	30	63	11	2020.9091	21.8182	0.7016
