id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
26	agricultural intensification	-0.5437	-0.1748	1	22	41	8	2017.625	144.25	1.3291
28	agricultural land	0.4396	0.8424	4	21	38	9	2018.4444	126.6667	1.0276
35	agricultural production	0.0471	-0.0202	1	26	44	10	2017.5	108.6	0.8525
44	agriculture	0.1003	-0.4281	1	32	130	25	2018.84	220.28	1.35
87	biodiversity	0.5055	0.2223	2	31	89	19	2019	104	1.0878
103	brazil	-0.0843	-0.8196	1	23	41	11	2019.7273	47.4545	0.7233
137	climate change	0.6403	-0.0823	2	27	75	14	2018.1429	107	1.2954
148	commerce	-0.7019	-0.8035	1	21	43	8	2019	72.625	1.0297
179	conservation of natural resources	0.5809	-0.7232	2	27	87	14	2017	332.5	1.7238
223	decision making	0.9119	-0.1736	3	19	35	9	2018.1111	146.7778	1.0958
227	deforestation	-0.3334	-0.3404	1	36	231	52	2018.9423	110.1154	1.04
280	ecosystem	0.9965	0.1564	2	22	62	12	2017.8333	168	1.8986
285	ecosystem service	0.5084	0.5111	3	21	47	10	2015.7	182.8	1.1192
304	environmental impact	-0.7487	-0.48	1	21	41	9	2016.3333	141.1111	0.793
313	environmental policy	0.3608	-0.5287	3	23	44	8	2018.125	66.375	0.8492
314	environmental protection	0.6375	-0.4769	2	29	100	16	2018.875	250.125	1.4938
359	food security	0.6975	0.62	4	17	29	8	2018.25	105.625	1.4843
371	forest cover	-0.6588	0.4096	5	25	61	11	2015.0909	69.8182	0.5089
383	forest management	-0.9746	0.3347	5	18	40	10	2014.7	199.9	0.9138
390	forest transitions	-0.848	-0.1712	5	26	73	12	2015.3333	415.0833	0.9501
393	forestry	-0.3095	-0.0194	2	29	72	11	2016.2727	155.9091	1.1644
398	forests	0.156	-0.826	2	24	68	15	2017.8	289.8667	1.2681
445	governance approach	0.3666	-0.2262	3	24	68	16	2019.9375	85.8125	0.8681
471	human	0.9626	-0.4868	2	20	61	12	2020.3333	73.0833	1.6657
536	land cover	-0.3015	0.674	4	27	57	14	2016.7143	285.7143	1.5637
551	land use	0.0132	0.1775	4	37	161	35	2018.5429	228	1.232
553	land use changes	-0.0263	0.4389	4	36	171	40	2017.95	126.6	0.8634
558	land use planning	0.2098	0.4426	3	28	45	10	2017.5	110.6	0.8768
645	mozambique	-0.038	1.0448	4	14	30	10	2022.7	10.3	0.429
762	reforestation	-0.888	0.0804	5	27	79	14	2013.5714	217.5	0.6165
768	remote sensing	-0.5056	0.7807	4	23	45	12	2016.25	96.75	1.125
777	research work	0.7318	0.2368	3	15	26	8	2017.25	237.625	1.3631
828	smallholder	-0.0295	0.8424	4	15	21	9	2022.3333	26	0.7839
896	supply chains	-0.4384	-0.6172	1	12	28	8	2022	37.625	0.8289
898	sustainability	0.3163	0.0213	3	33	114	31	2020.129	129.4839	1.4473
904	sustainable development	-0.1007	-0.2302	3	32	81	18	2018.9444	231.1111	0.8294
939	trade	-0.465	-0.948	1	19	41	9	2019	53.3333	0.7529
970	tropical forest	-0.4044	0.2063	5	21	49	11	2020.6364	162.4545	0.9116
996	vietnam	-0.7822	0.5339	5	25	66	12	2013.75	173.6667	0.6973
