id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
44	arctic	1.0263	-0.4541	1	23	61	13	2022.9231	12.5385	0.8862
56	bacillariophyta	-0.0471	0.8809	2	20	39	8	2015	67.625	1.2066
80	biogeochemistry	0.1697	-0.1496	1	30	61	10	2021.3	16.1	0.8921
96	brazil	-0.1321	-0.3796	3	16	25	7	2018.5714	24.2857	1.0095
131	catchment	-0.021	0.3777	2	32	65	8	2018.25	33.25	0.7593
144	chemical weathering	-0.6806	-0.2073	3	32	121	18	2017.2222	47.5	1.0893
152	clay mineral	-0.209	-0.7802	3	26	55	8	2015.625	52.375	0.7661
155	climate change	1.0408	0.3255	1	18	31	7	2023.8571	8.4286	0.9904
226	dissolution	0.4962	0.4058	1	30	56	8	2015.125	75.875	0.724
228	dissolved organic carbon	0.7675	0.546	1	20	34	7	2022.5714	17.5714	0.6866
309	germanium	-0.1378	-0.0434	3	28	63	10	2017.3	37.7	0.8186
335	groundwater	0.1628	0.7672	2	24	52	7	2018.8571	30.5714	0.8416
374	iceland	-0.7719	0.4639	2	24	72	10	2016.2	70.6	1.5094
388	iron	0.7323	-0.7251	1	16	34	7	2022.7143	16.2857	1.5041
389	iron oxide	0.5684	-0.4413	1	26	61	10	2019.3	45.1	1.2036
390	isotope	-0.1798	0.2086	2	35	227	31	2017.0645	45.7419	0.7633
399	isotopic composition	-0.6955	0.0217	3	33	141	21	2016.4286	63	1.0539
400	isotopic fractionation	-0.7939	-0.6407	3	24	84	16	2012.3125	92.1875	1.2248
409	lake	0.2011	0.2012	2	34	109	15	2018.9333	27.0667	0.9956
473	mineral	0.3192	-0.3393	1	33	90	12	2018.6667	57.6667	1.3996
518	organic carbon	0.8087	-0.3079	1	29	100	20	2021.5	22.7	1.2179
551	permafrost	0.9287	-0.0608	1	29	124	28	2023.3214	11.9286	1.0293
567	phytoplankton	-0.3186	0.897	2	21	48	7	2016.2857	78.4286	1.4203
633	river	0.2023	0.4785	2	28	74	9	2018.7778	27	0.9829
665	sediment	0.5918	0.0396	1	24	49	8	2020.75	18.75	0.9985
689	silica	-0.2662	0.5299	2	28	54	9	2016.3333	51.1111	0.8091
690	silicate	-0.9936	0.2992	2	25	62	8	2016.375	53.375	1.1341
695	silicon	-0.4374	0.2196	2	37	227	39	2014.8974	62.4103	0.9249
701	silicon isotopes	-0.5582	0.5298	2	33	131	18	2015.8889	50.9444	0.7664
712	soil	-0.3172	-0.4959	3	32	108	17	2015.7059	54.4706	0.9183
715	soil chemistry	-0.6271	-0.4887	3	26	73	12	2014.5833	68	1.0972
724	soil moisture	0.0938	-0.5959	3	28	45	7	2019.4286	22	0.9059
736	soil profile	-0.465	-0.6998	3	25	45	10	2017.2	41.3	1.0166
811	thawing	1.0779	-0.1731	1	27	90	15	2023.4	10.8	1.0548
841	united states	0.7296	0.281	1	28	77	10	2021.9	17.2	0.7493
861	volcanic soil	-0.9741	-0.4202	3	20	51	7	2014	75.4286	1.1586
863	volcanoes	-0.9184	0.0686	2	24	56	8	2016.25	23.75	0.5482
882	weathering	-0.3726	-0.1388	3	36	183	28	2016.2143	48.3929	0.9222
