id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
93	beech	0.6351	0.0655	1	40	265	45	2014.2	53.5556	0.9482
96	belgium	-0.0239	-0.3043	3	40	153	29	2014.1724	29.1379	0.7276
109	biodiversity	-0.3885	-0.6328	3	39	214	36	2020.1944	52.2778	1.172
128	biomass	-0.0246	0.8223	2	38	95	15	2015.8	42.4	1.5147
163	carbon	-1.021	0.1774	2	30	70	9	2019.3333	43.4444	0.884
172	carbon sequestration	-0.723	0.6099	2	36	104	16	2017.75	53.5625	1.269
198	climate	-0.173	0.6375	2	29	69	9	2020.1111	64.5556	1.538
199	climate change	-0.1676	-0.0704	1	41	207	28	2020.1786	54.1786	1.088
239	coniferous forest	0.6687	0.3225	1	36	96	12	2020.1667	48.25	1.1162
240	coniferous tree	0.4185	-0.4025	1	34	71	12	2019.8333	57.5833	1.3315
265	deciduous forest	0.1897	0.6351	2	39	140	23	2016.7391	38	0.745
266	deciduous tree	0.7286	-0.1976	1	35	143	23	2015.7391	42.0435	0.9397
314	drought	0.3222	-0.7596	1	37	122	19	2019.7368	40.1053	0.9351
337	ecosystem	-0.6126	-0.1325	2	38	140	21	2019.2857	45.3333	1.0906
360	environmental conditions	-0.1207	-0.7231	3	33	71	11	2022.0909	36.6364	1.3299
382	europe	0.1344	-0.1222	1	40	277	45	2020.0222	59.4	1.1662
442	forest ecosystem	-0.5415	-0.3578	2	35	112	20	2017.7	26.5	0.7589
456	forest management	-0.2885	0.4388	2	41	178	28	2018.7143	50.8571	1.1832
469	forest soil	-0.5542	0.8142	2	22	33	9	2005.7778	29.8889	0.8588
481	forestry	0.1099	0.133	2	41	330	49	2016.3673	43	0.8893
486	forests	-0.5229	0.1214	2	39	174	24	2021.2083	34.9167	1.2855
533	growth	0.9317	-0.4267	1	32	76	10	2019.7	29.6	0.7568
539	growth response	0.7606	-0.6035	1	30	66	11	2020.6364	85.0909	1.8633
725	microclimate	-0.9407	-0.1622	2	24	62	13	2022.4615	38.3077	1.1328
734	mixed forest	0.3864	0.262	1	39	182	30	2017.1667	48.5333	0.9313
749	mixing	0.9268	0.1335	1	33	96	10	2020	39.8	0.8008
751	mixture	0.5413	-0.768	1	30	79	10	2019.3	60.8	1.2916
755	modelling	0.9024	0.4863	1	31	117	16	2012.6875	38.375	1.0274
760	monoculture	0.1377	-0.4929	3	34	83	11	2019.2727	75.7273	1.5192
800	nonhuman	-0.5903	0.4116	2	35	74	9	2017.1111	42.1111	2.0723
804	nutrient	0.0468	0.3791	2	34	70	10	2015.6	21.7	0.551
827	oak	0.4725	-0.1181	1	38	206	31	2015.6129	48.3548	1.1463
881	pinus sylvestris	1.0071	-0.1009	1	36	134	18	2019.4444	77.2222	1.1608
1063	soil	-0.7953	0.203	2	39	136	23	2016	41.9565	1.2106
1068	soil carbon	-0.2966	0.9662	2	26	45	9	2018.3333	31	0.6681
1123	species diversity	-0.4657	-0.9097	3	34	98	15	2022.0667	17.7333	0.574
1131	species richness	-0.8798	-0.5804	3	30	114	18	2022.5556	23.4444	0.8167
1145	stand dynamics	0.644	0.6858	1	32	73	12	2015.75	62.3333	1.1725
1153	stand structure	0.4596	0.5355	1	37	125	16	2017.1875	52.8125	1.0672
1208	temperate forest	-0.25	0.2042	2	33	72	11	2020.1818	19.8182	0.4882
1246	tree	-0.2715	-0.3589	3	41	232	34	2021.3235	36.7353	0.9484
1273	treedivnet	-0.7725	-0.8209	3	29	82	14	2023.3571	15.2143	0.6697
