id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9	abiotic stress	0.9609	-0.0048	2	15	20	8	2022.125	86	1.9196
34	amino acid	0.2359	0.7445	1	29	46	7	2020.5714	32.8571	0.7473
45	antioxidant	-0.2176	0.3732	1	33	87	11	2021.7273	28.1818	1.5802
119	buckwheat	-0.2191	-0.4157	4	28	75	12	2022.4167	35.5	1.513
204	dicotyledon	0.5977	0.4707	2	25	36	7	2020	16.5714	0.377
227	drought	0.3473	-0.016	2	30	73	10	2023.9	25.5	0.8327
229	drought stress	0.6354	0.2407	2	34	72	12	2021.5833	41.4167	1.0571
231	drug effect	-0.7009	0.5476	1	30	113	12	2017.25	69.5	1.7752
247	enzyme activity	-0.0101	0.2161	2	27	53	7	2022.4286	21.5714	0.6912
266	fagopyrum	-0.536	-0.4591	4	33	126	17	2023	24.3529	1.2574
296	flower	0.8886	-0.3226	2	27	76	15	2014.5333	35.2	0.929
303	flowering	0.2824	-0.2303	3	25	34	7	2013.7143	26.8571	0.5915
351	gene expression	0.0008	-0.411	3	36	87	11	2018	31	0.7006
353	gene expression regulation	-0.3584	-0.6455	4	36	144	16	2019.6875	59.5625	1.0956
380	genetics	-0.1385	-0.7822	3	38	199	25	2018.16	47.6	1.1448
383	genome-wide association study	-0.6509	-0.977	4	16	49	7	2024.2857	29.5714	1.0988
388	germination	-0.9568	-0.0245	1	23	62	8	2020.5	57	1.8478
406	"growth, development and aging"	-0.1619	-0.0184	1	37	160	19	2016.2632	51.0526	1.4101
408	halophyte	-0.2488	0.9356	1	25	69	12	2018.9167	33.1667	0.8938
420	high temperature	0.4462	0.1453	2	20	30	8	2020.5	36	1.127
502	lycopersicon esculentum	0.471	-0.5526	3	25	92	13	2011.7692	44.3077	1.0378
531	metabolism	-0.5678	-0.0945	1	39	248	30	2019.9	45	1.2599
555	mutation	0.7056	-0.7578	3	16	48	7	2012.4286	25	0.7666
559	nacl	-0.0502	0.8365	1	18	29	7	2017.4286	28	0.7422
562	nectar	1.1598	0.3502	2	11	35	13	2018.6154	56	1.1639
569	nonhuman	-0.7369	-0.3668	4	31	63	10	2022.1	33.4	0.9619
622	photosynthesis	0.0135	0.4974	1	29	64	9	2018.2222	39	1.0406
637	physiological stress	-0.3201	-0.1607	5	34	96	10	2020.1	59.6	1.3487
638	physiology	0.0244	-0.1105	1	41	174	22	2017.3636	49.5	1.1224
641	phytohormone	0.258	0.379	1	29	51	11	2018.4545	30.6364	0.7244
644	plant	-0.4111	0.0975	1	34	88	14	2016.2857	55.7857	1.3994
656	plant leaves	-0.5364	0.6978	1	30	63	7	2017.1429	57.2857	0.9192
661	plant protein	0.0817	-0.7667	3	36	129	14	2017.5	38.5	0.7238
665	plant seed	-1.0183	0.2293	1	25	66	7	2020.1429	48.7143	1.8579
674	pollen	1.0153	0.3533	2	17	44	17	2017.7059	50.8824	1.0172
681	pollination	1.1404	0.2148	2	11	25	11	2019	28.5455	0.678
733	reproduction	0.6956	-0.1011	2	25	39	8	2017.875	27.375	1.0633
767	salt stress	-0.3855	0.4487	1	38	159	27	2019.6296	38.8889	1.1417
777	seed	-0.9453	0.414	1	26	67	8	2020.25	46.125	1.6967
785	seedling	-0.5952	0.2768	1	34	86	10	2018.8	47.9	1.0879
810	sodium chloride	-0.2982	0.6926	1	33	110	12	2016.6667	61.3333	1.3598
818	solanum lycopersicum	0.5568	-0.3464	3	27	103	21	2017.0476	54.1429	1.1597
865	tartary buckwheat	-0.7186	-0.7433	4	20	51	8	2024.125	26	0.8048
918	vegetable protein	0.2654	-0.8538	3	24	65	7	2010.8571	74.5714	1.2418
