id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
8	adult	-0.5453	0.8977	1	22	31	3	2020.6667	25.3333	0.6969
13	animal	0.2268	0.0488	4	36	165	15	2020.7333	23.5333	1.0739
23	aphid	0.1169	-0.2408	1	36	167	19	2021.4737	16.7368	0.9737
27	aphididae	0.6587	-0.6844	3	28	72	7	2020.1429	19.1429	1.2041
37	bacteria	0.5243	0.2181	3	32	110	9	2019.8889	24	0.8258
45	bacterial mutualism	-0.5769	-0.6039	1	28	50	5	2021	23.4	1.1905
55	bacterium	0.3689	-0.2152	3	34	121	10	2020.4	22.3	1.0291
66	biological control	1.0851	0.1297	4	8	9	5	2023.4	6.6	0.55
67	biological evolution	0.1109	0.6126	2	31	62	4	2019.25	31	0.7955
78	buchnera	-0.9011	0.3958	1	25	34	3	2022.3333	8.6667	0.5945
79	buchnera aphidicola	0.6883	-0.1076	3	27	57	6	2020.3333	17.1667	0.9016
85	candidatus serratia symbiotica	0.7073	-0.4371	3	27	58	5	2018.2	25.8	0.6858
98	classification	-0.124	0.7146	2	31	68	4	2019	27.75	0.8057
146	endosymbiont	-0.3261	-0.109	1	28	44	4	2022.75	10.25	0.9494
147	endosymbiosis	-0.8944	-0.6365	1	19	32	3	2022.3333	19	1.5191
156	evolution	0.2352	0.3884	2	32	77	6	2020.8333	25.5	0.9367
166	female	-0.4141	0.6284	1	25	41	3	2018.3333	39	0.865
194	genetics	-0.2384	-0.3575	2	35	160	13	2020.6923	25.2308	1.0789
208	gut symbiont	-0.9433	-0.2469	1	19	35	3	2021	31.6667	1.1402
210	hemiptera	1.0476	-0.0973	4	16	18	4	2022	8.5	1.0375
212	hexapoda	0.9387	-0.3927	3	25	44	4	2019	19.5	0.6072
227	host-pathogen interaction	0.038	-0.9526	3	22	35	3	2019.3333	36	1.2226
243	insect	-0.1269	-0.739	3	30	66	6	2021.1667	28.8333	1.4043
255	isolation and purification	0.2863	0.8863	2	28	54	3	2019	20.6667	0.6944
279	metabolism	0.3202	-0.565	4	21	32	3	2023.3333	17	1.3798
283	microbiology	-0.0509	0.2876	2	33	138	10	2019.8	30	1.0597
284	microbiota	0.5117	0.6611	2	29	57	4	2020.5	15.5	0.5208
285	microflora	0.0345	0.954	2	28	54	3	2019	20.6667	0.6944
301	nonhuman	-0.5783	-0.1551	1	33	90	9	2021.2222	19.3333	1.1704
318	pathogen	-0.6709	-0.8706	1	16	23	3	2023.3333	13.6667	1.5714
333	phylogeny	-0.5109	0.1505	1	34	104	8	2021	24.625	1.0797
334	physiology	0.7462	0.3308	2	28	73	7	2019.8571	28.8571	0.7713
369	rna 16s	-0.6719	0.5245	1	27	55	4	2019.75	31.5	1.1938
379	serratia	-0.7619	0.0602	1	34	120	10	2019.6	31.7	1.1749
382	serratia symbiotica	-0.2357	0.1324	1	35	89	8	2020.25	27.25	1.1718
396	symbiont	-0.005	-0.5189	1	30	56	7	2021.1429	14.1429	1.4146
397	symbiosis	-0.0697	-0.0914	1	36	177	18	2020.9444	27.5	1.148
