id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	animal	-0.3702	0.1271	3	36	160	21	2014.9524	111	1.4154
52	biodiversity	-0.2098	-0.6331	2	23	40	7	2018.4286	26.7143	0.788
54	biological evolution	-0.8736	-0.0641	2	25	65	9	2019.5556	150.1111	1.8549
55	biological model	-0.2084	0.4638	3	27	55	7	2014.7143	225	1.632
69	boloria aquilonaris	0.6057	0.6277	1	24	37	7	2011	38.7143	0.7921
70	boloria eunomia	0.6974	0.0049	1	34	127	21	2009.8095	64.2381	1.017
78	butterflies	0.5118	0.1499	1	36	214	37	2010.3514	54.973	0.8835
100	ciliate	-0.8938	-0.4812	2	25	81	12	2017.6667	34.25	0.9601
101	ciliophora	-1.0272	-0.3501	2	23	66	8	2014.25	51.5	0.9384
122	connectivity	0.4219	-0.637	1	22	45	7	2013.4286	38	0.5485
152	demography	0.1919	0.0788	1	40	86	11	2013.4545	128.6364	0.94
153	density dependence	-0.417	0.4882	3	24	42	6	2014.6667	39.5	1.1199
162	dispersal	-0.1604	-0.2683	2	40	169	23	2014.5652	48.1304	1.0655
177	ecology	0.1047	0.3057	1	22	30	7	2019	47.7143	1.6723
179	ecosystem	-0.4486	-0.128	2	32	106	18	2018.5556	104.8889	1.3001
212	evolution	-0.9842	0.1195	2	29	92	12	2016.5	138.5	1.6975
228	female	-0.0643	0.745	3	25	50	6	2011.5	78.8333	1.3032
232	fitness	-0.3645	-0.388	2	23	37	7	2020	165.2857	0.9865
247	fritillaria (angiosperm)	1.3143	-0.0376	1	18	72	10	2004.5	61.7	0.8977
272	genetics	-0.8163	0.4163	3	28	81	10	2012.3	63.7	1.2174
275	genotype	-0.6961	0.0161	2	26	47	7	2017	25.8571	1.1687
306	"growth, development and aging"	-0.6517	0.5866	3	24	40	7	2015.2857	36.4286	1.2705
310	habitat fragmentation	0.5926	-0.4888	1	32	93	14	2010.7143	64.5	1.02
316	habitat quality	0.2879	-0.3511	1	18	30	6	2014.5	29	0.8081
330	human	-0.7283	0.217	2	24	48	6	2019.8333	22.8333	1.2052
383	lepidoptera	1.0931	-0.1182	1	21	91	13	2005	54	0.8157
410	male	-0.2659	0.7572	3	23	43	6	2011.5	45.5	0.8703
419	mark-recapture method	0.9722	-0.3338	1	19	53	9	2008.6667	44.4444	0.7536
434	metapopulation	0.4086	-0.1484	1	43	212	30	2010.0667	57	0.8937
443	microcosm	-0.666	-0.6233	2	22	53	9	2018.1111	32.7778	0.8506
466	movement	0.1156	-0.6304	1	20	32	6	2013.1667	218.8333	1.0177
480	nonhuman	-0.1192	0.1475	3	33	76	10	2011.4	56.1	0.8167
489	nymphalidae	1.2365	-0.2854	1	18	76	10	2004.6	60.6	0.8825
523	phenotype	-0.663	-0.4466	2	25	74	11	2019.1818	21	1.1415
525	phenotypic plasticity	-0.6908	-0.2668	2	26	55	8	2018.125	21.625	0.9268
532	physiology	-0.4945	0.292	3	35	126	17	2014.4118	69.3529	1.4216
545	population density	0.0418	0.5482	3	31	62	6	2009.6667	50.8333	0.9205
550	population dynamics	0.1851	-0.103	1	42	162	24	2012.125	44.9583	0.7887
557	population modeling	1.1232	0.1546	1	16	46	7	2006.5714	53.4286	0.8938
560	population structure	0.6987	-0.2628	1	13	23	6	2014.5	33.5	0.7024
561	population viability analysis	0.7936	0.1894	1	20	38	7	2009.8571	64.4286	0.9769
569	proclossiana eunomia	0.6108	0.3852	1	30	76	10	2005.7	81	1.0527
647	species conservation	0.8601	0.3401	1	26	49	7	2009.4286	66.5714	1.0737
681	tetrahymena thermophila	-1.0535	-0.1149	2	25	88	14	2016.0714	34.9286	0.9562
