id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
37	bacteria	0.0716	0.1017	3	37	73	7	2011.4286	34.7143	1.1181
40	bacterial genome	0.6414	0.5445	1	22	27	3	2018.3333	13.3333	0.8889
41	bacterial growth	-0.2823	0.8637	3	14	19	3	2014.6667	13.6667	1.1111
43	bacterial strain	0.1598	0.746	3	25	35	4	2016.25	10.25	0.912
45	bacterium	-0.1853	0.2157	3	40	81	8	2013.25	21.125	1.1033
61	biochemistry	0.2864	-0.5325	1	32	40	3	2012	37.6667	0.88
62	biodegradation	0.0525	0.2998	3	40	131	14	2012.3571	29.7857	0.9256
72	biomolecules	-0.8328	-0.4148	2	24	30	3	2014.6667	30	1.12
75	bioremediation	0.3574	-0.2149	1	35	89	9	2012.1111	36.6667	0.9028
80	biotechnology	0.0732	-0.1888	2	32	47	4	2012.25	42	1.2315
110	chloroflexi	0.904	-0.0396	1	24	38	3	2017	33.6667	1.1785
131	concentration (composition)	-0.163	-0.1449	2	21	26	3	2014.3333	33.3333	1.7615
145	dechlorination	0.7149	-0.0394	1	24	38	3	2017	33.6667	1.1785
150	dehalococcoides	1.0531	-0.1169	1	24	38	3	2017	33.6667	1.1785
152	denitration	-0.7583	0.8347	3	15	21	3	2006.3333	25	0.8333
153	denitrification	-0.7632	0.5962	3	19	33	3	2007.6667	21.3333	0.9533
205	fermentation	-0.8384	-0.6842	2	6	6	3	2024.6667	1.6667	1
213	flavoprotein	-0.5268	-0.7994	2	16	18	3	2013.3333	28.6667	0.821
219	gene	1.1027	0.2372	1	23	38	3	2013.3333	51	1.1605
221	gene expression	0.972	-0.2897	1	24	38	3	2017	33.6667	1.1785
222	gene expression profiling	0.7819	-0.3977	1	23	35	3	2013.3333	45.6667	1.1662
230	genetics	0.5612	-0.357	1	24	32	3	2013.6667	125.6667	1.0185
233	genomics	0.9068	0.3612	1	25	47	4	2012	51.25	1.2315
254	hydrogen	-0.4087	-0.3156	2	21	24	3	2016.6667	23	1.138
289	metabolism	0.0935	-0.4479	2	38	83	8	2013.5	33.25	0.9943
290	metabolite	-0.8005	-0.1684	2	28	60	6	2012.1667	24	0.9167
294	metagenomics	0.9241	0.1645	1	23	35	3	2009.6667	63	1.1481
305	microbial activity	-0.3224	-0.4786	2	29	40	4	2014	45.75	1.4811
307	microbial community	0.3838	0.1798	1	15	20	4	2014.75	115.5	1.4208
321	microbiology	-0.1255	-0.4366	2	29	53	7	2013.1429	81.4286	1.1493
322	microorganism	0.7126	0.217	1	23	38	4	2011	70.75	1.3375
347	nitration	-0.947	0.564	3	18	31	3	2008.6667	25	0.8333
348	nitrite	-0.6972	0.4382	3	22	40	4	2008	18	0.875
360	nonhuman	-0.28	0.4193	3	40	97	11	2012.8182	35.9091	1.1134
381	oxidation	-0.7289	-0.5439	2	20	27	4	2014.75	33.25	1
425	pseudomonas aeruginosa	-0.8816	-0.004	2	27	51	4	2009.75	33.75	0.965
440	reduced nicotinamide adenine dinucleotide phosphate	-0.9504	0.2778	3	19	30	3	2009	24.6667	1.12
450	rna 16s	0.3639	0.485	3	25	34	4	2016.25	16.5	1.2176
472	soil	-0.0973	-0.6775	2	23	42	5	2013.6	89.8	1.1933
475	soil microbiology	-0.3183	-0.0054	2	31	53	5	2009.2	107.6	0.9111
479	soil pollutant	-0.264	-0.8116	2	20	33	3	2011	37.3333	0.6987
480	soil pollution	-0.0926	0.6481	3	26	44	6	2013	28	1.1128
521	trichloroethylene	0.8031	-0.1981	1	24	38	3	2017	33.6667	1.1785
524	trinitrotoluene	-0.6553	0.1131	3	30	77	7	2008.8571	30	0.9365
