id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
33	agricultural land	0.3299	-0.3998	2	36	141	24	2016.8333	47.1667	0.7997
44	agricultural soil	-0.7974	-0.4783	1	26	60	10	2015.2	218.9	1.2428
50	agriculture	0.0467	-0.5763	4	36	145	21	2013.2381	105.619	0.9257
111	belgium	-0.2294	-0.0887	1	34	124	24	2012.2083	80.4583	0.9605
142	carbon	0.0292	-0.3386	4	36	126	14	2010.7143	145.0714	0.9268
149	carbon cycle	-0.1192	0.6987	3	33	125	20	2017.6	106.7	1.443
151	carbon dioxide	-0.6037	0.6521	3	33	109	19	2015.4737	104.8421	1.0722
158	carbon flux	-0.2973	0.4573	3	37	147	20	2017.5	62.15	0.8029
164	carbon sequestration	-0.1042	0.159	3	34	127	18	2016	132.8889	1.0342
165	carbon sink	0.139	0.8226	3	29	62	10	2014.1	63.1	0.5879
173	catchment	0.5351	0.2878	2	34	150	23	2016	72.8261	0.7297
202	climate change	-0.3191	0.8125	3	29	81	17	2018.8235	123.8824	1.4892
223	congo basin	-0.8862	0.3773	1	15	18	11	2022.0909	28.6364	0.7874
271	deposition	0.2929	-0.7182	2	32	104	13	2011	121.9231	1.0996
352	erosion	0.6184	-0.3903	2	36	326	50	2013.1	68.34	0.9709
360	erosion rate	0.5739	-0.1227	4	33	95	14	2012.7143	109.6429	0.9255
368	europe	0.8725	-0.1815	4	34	110	17	2013.4706	135.4706	1.1286
432	geomorphology	-0.8225	-0.1526	1	27	47	10	2017.5	61.5	1.3139
563	land cover	-0.0374	1.0485	3	22	46	10	2017.2	163.8	0.9868
569	land use	0.8069	0.1206	2	36	176	24	2014.4583	109.1667	1.109
570	land use changes	0.0893	0.544	3	35	121	20	2015.25	194.05	1.2922
576	landform	0.127	-0.0788	2	34	90	11	2016.7273	75.0909	1.3064
696	modelling	0.4115	0.0485	2	38	258	41	2012.5854	88.122	0.9724
781	organic carbon	-0.5584	-0.0892	1	39	303	50	2018.54	42.36	0.8739
919	remote sensing	-0.6688	-0.7062	1	26	64	17	2020.8824	189.5294	1.6069
953	runoff	1.1369	0.0748	2	24	69	11	2012.0909	57.5455	0.8012
972	sediment	0.4461	0.5738	2	33	106	15	2014.1333	105.7333	0.9435
987	sediment transport	0.6209	0.7065	2	33	120	21	2012.8095	85.0476	0.5387
1028	soil	-0.0361	-0.8024	1	38	295	47	2016.2128	50.0638	0.9504
1033	soil carbon	-0.6132	0.3372	1	39	260	46	2016.7174	76.0217	1.0355
1041	soil conservation	0.8269	0.4634	2	32	82	15	2012.0667	331.1333	1.631
1053	soil erosion	0.2016	0.2036	2	39	474	84	2013.2024	133.3333	1.0688
1073	soil organic carbon	-0.3923	-0.7487	1	37	214	30	2015.9333	54.5667	0.8355
1080	soil organic matter	-0.4347	0.173	1	38	230	40	2015.225	69.65	0.7654
1082	soil profile	-0.4838	-0.3466	1	31	91	12	2013.6667	48.75	0.867
1084	soil property	-1.0354	-0.3566	1	19	37	10	2017.1	75.1	1.1802
1211	tillage	0.817	-0.6864	4	30	113	19	2008.1053	99.0526	0.912
1212	tillage erosion	0.6675	-0.9239	4	23	58	11	2006.3636	82.3636	0.751
1234	topography	-0.2632	-0.4791	1	31	61	10	2015.5	73.7	1.1547
1235	topsoil	-0.8868	0.1037	1	29	61	10	2019.4	27	1.0388
