id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	adult	1.1269	-0.135	2	17	31	4	2020	22	0.8939
4	africa	-0.301	0.0931	3	20	28	6	2021.8333	27.3333	0.9173
17	agriculture	-0.4056	0.347	3	11	11	4	2020.5	31.75	1.0192
20	agroecology	-1.2507	-0.0608	1	8	9	3	2025	5	1.0069
21	agroforestry	-0.5706	-0.3598	5	4	5	3	2023	7	0.5388
23	agroindustry	-0.2434	-0.0996	5	12	14	3	2020	39.6667	1.3305
34	belgium	-1.0476	-0.1993	1	11	14	4	2024.5	9.25	1.8333
50	certification	-1.3623	-0.0467	1	8	11	3	2022.3333	11.6667	0.7508
58	choice experiment	-0.1102	-0.4111	5	13	18	6	2021	16.8333	0.6156
61	cocoa	-0.6006	-0.2862	5	4	5	3	2025.3333	2	0.7341
101	discrete choice analysis	-0.2546	-0.4473	5	7	9	4	2019	23.75	0.7344
115	employment	0.5514	-0.2299	2	22	39	6	2019.5	33.8333	0.718
127	europe	-1.1204	0.0055	1	10	13	4	2025.25	6	1.2083
132	family planning	0.9263	-0.3351	2	13	23	3	2019.3333	19.3333	0.5154
136	farmers attitude	-1.2114	-0.1532	1	9	12	3	2025	9.3333	2.1944
141	female	1.0057	-0.0679	2	17	31	4	2020	22	0.8939
143	fertility	0.9	-0.448	2	13	23	3	2019.3333	19.3333	0.5154
153	food security	-0.2504	0.377	3	10	15	7	2021.7143	31	1.397
154	food supply	-0.8022	0.1827	1	16	23	6	2022.8333	65	1.2181
158	gender	-0.0918	0.037	1	24	31	7	2023.1429	20.4286	0.7474
168	global value chains	-0.3257	0.4273	3	9	10	3	2020.6667	35	1.2495
169	globalization	-0.0261	0.2743	3	15	17	4	2020	39.25	1.0479
182	horticulture	0.0833	-0.2111	5	11	14	3	2018.3333	43.3333	0.9626
187	human	1.1539	-0.0093	2	17	31	4	2020	22	0.8939
188	human experiment	1.0631	0.1212	2	15	23	3	2020	26.6667	1.0931
191	income	0.3803	0.2819	4	22	34	5	2019.4	50.4	1.2874
219	livelihood	0.1016	0.0643	3	20	25	5	2021.8	28	0.9969
222	local food system	-1.3199	0.0588	1	8	14	3	2022.3333	102	1.6111
226	malawi	0.8039	0.2358	4	14	19	3	2021.6667	43	1.5613
250	nutrition	-0.155	0.4725	3	11	13	4	2023.5	16.75	0.4773
283	poverty	0.4817	0.3762	4	19	27	4	2019.25	37.5	1.2606
309	rural area	0.6772	0.0306	4	20	23	3	2021	32.6667	1.2742
310	rural development	0.1059	0.3342	3	15	19	4	2019	29.75	0.9161
315	rural population	1.0957	-0.3143	2	11	18	3	2018	21.6667	0.497
324	self employment	0.817	0.3806	4	14	17	3	2022	17.6667	1.179
325	senegal	0.3487	-0.1323	5	26	48	9	2018.7778	30.6667	0.7229
331	short food supply chain	-1.1955	0.1026	1	10	18	4	2023.25	76.5	1.2083
332	smallholder	-0.291	-0.3429	5	8	10	3	2019.3333	28	0.9392
353	sub-saharan africa	0.4947	-0.0807	4	23	39	10	2020.3	25.5	0.6963
355	supply chain management	-1.0107	-0.0782	1	12	20	5	2023.8	61.4	1.0542
361	tanzania	0.6294	0.3085	4	17	21	3	2021	48.6667	1.3939
369	uganda	0.7344	-0.2244	2	17	22	3	2020.6667	35.3333	0.799
380	wage	0.4655	0.1621	4	15	19	3	2018.6667	61.3333	1.3479
