id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
45	andes	-0.3532	0.1633	2	30	151	31	2015.5161	57.9677	1.0977
53	anthropogenic effect	-0.4772	-0.7276	2	28	66	10	2012.6	85.4	1.4645
130	catchment	0.1778	0.3486	1	32	124	22	2015.4091	35.9545	0.8741
142	chemical weathering	0.976	-0.4054	3	18	27	7	2018.8571	31.1429	0.785
145	climate change	-0.0329	0.8284	1	18	26	10	2016.7	45.9	0.8539
176	cosmogenic radionuclide	0.736	0.212	3	25	50	11	2015.5455	39	0.7549
199	deforestation	-1.0707	-0.0353	2	22	52	11	2014	51.7273	0.9593
204	denudation	1.0328	0.1425	3	18	38	8	2014	35.875	0.6629
253	ecuador	-0.7361	0.0756	2	27	71	17	2012.4706	65.8235	1.1018
274	erosion	0.4624	0.2563	3	32	97	19	2013.8947	54.0526	1.1771
280	erosion rate	0.4064	-0.7856	3	24	44	10	2015.9	37.5	0.9569
326	forest cover	-1.0646	0.2793	2	21	40	7	2012.4286	95.8571	1.5233
361	geomorphology	0.5433	0.8908	1	13	23	7	2011.4286	110	1.3326
392	hillslope	0.6282	-0.7932	3	18	26	8	2018	39.375	0.7216
461	land cover	-0.3825	-0.481	2	28	67	14	2014.1429	53.7143	1.1093
463	land degradation	-0.7723	-0.6761	2	25	62	8	2011.5	64	0.898
467	land use	-0.1314	-0.5104	4	29	63	11	2011.0909	58.6364	0.9408
468	land use changes	-0.6397	-0.2941	2	31	116	24	2011.2083	69.9583	0.991
471	landform	-0.3022	0.6737	1	27	45	8	2013.875	89.375	1.3232
483	landslide	-0.6934	0.5762	2	25	55	11	2012.9091	89.7273	1.2656
553	modelling	0.1375	0.0049	1	27	44	11	2015.9091	63.2727	1.3177
570	mountain region	0.1863	-0.3394	4	24	37	11	2014.8182	54.9091	1.306
706	rainfall	-0.4207	-0.1351	2	23	38	7	2011.5714	51.7143	1.0787
727	remote sensing	0.1809	0.6187	1	19	31	10	2017.2	67.3	1.4
756	runoff	-0.1706	0.4742	1	33	76	14	2014.7857	52.5714	0.9459
784	sediment transport	-0.6021	0.3486	1	25	60	10	2014.9	41.1	1.1365
787	sediment yield	-0.8993	-0.3384	2	26	68	9	2012.6667	70	1.1886
795	semiarid region	0.5918	-0.367	3	26	58	10	2013.8	41.5	1.0451
825	soil	0.8044	-0.0765	3	18	28	8	2018.375	23.25	1.0251
834	soil erosion	-0.012	-0.7721	3	31	88	18	2013.8889	58.4444	1.0378
839	soil moisture	0.2151	0.8622	1	16	31	9	2022.4444	25.8889	1.0618
888	spain	0.7563	-0.528	3	24	54	11	2013.5455	41.2727	1.0183
897	spatial variation	0.4264	-0.0875	4	24	42	8	2012.875	41.25	0.9713
985	topography	0.6351	0.5336	1	26	59	14	2016.2857	56.2143	1.2406
1020	vegetation	-0.0514	0.2397	1	31	80	13	2014.3077	47.6154	1.0427
1021	vegetation cover	-0.0841	-0.1758	1	26	61	9	2011.3333	74.1111	1.2987
