id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
85	aquifer	0.8576	-0.1638	2	24	67	11	2011.0909	32	0.6331
114	belgium	0.3266	-0.226	2	30	64	17	2008	51.5882	1.3285
150	calibration	0.1667	-0.0417	3	27	57	11	2010.6364	38	1.2049
163	catchment	0.5119	0.737	3	24	82	21	2017.2857	21.8095	0.7647
191	climate change	0.1508	0.6108	3	27	50	12	2020.4167	26.75	1.2087
399	electric conductivity	-0.3619	-0.4468	1	25	52	10	2007.2	85.9	1.9941
461	evapotranspiration	-0.3522	0.6487	3	23	40	9	2009	77.6667	1.5079
611	ground penetrating radar	-0.9596	-0.2044	1	21	83	22	2007.8636	67.5909	1.7297
616	groundwater	0.6674	-0.277	2	31	105	21	2010.0476	38.1905	0.8685
629	groundwater pollution	1.1257	-0.3116	2	19	88	16	2013.8125	31.375	0.7926
631	groundwater resource	1.0638	-0.0492	2	21	67	12	2015.1667	39.8333	1.0338
673	hydraulic conductivity	-0.2355	0.1008	1	29	55	12	2008.5	31.9167	0.6589
677	hydraulic properties	-1.0456	0.111	1	19	67	14	2008.1429	39.2143	0.9244
686	hydrodynamics	-0.9424	0.2921	1	19	48	11	2010.4545	32	0.9634
688	hydrogeology	0.533	-0.0105	2	28	89	15	2012.0667	32.2	0.7392
704	hydrology	-0.149	0.5329	3	22	49	10	2004.2	68.5	1.4752
753	inverse modeling	-0.8655	-0.0315	1	25	89	18	2005.6667	70.6111	1.5382
797	land use	0.8269	0.1121	2	24	69	11	2012.9091	42.8182	1.1308
813	leaching	0.328	-0.6386	2	31	87	21	2005.4286	36.1429	0.8538
938	modelling	-0.0138	0.1011	3	42	289	67	2009.5075	37.2239	1.0483
992	nitrate	0.9348	-0.4004	2	22	93	19	2013.2105	42.3684	1.0653
1002	nitrogen	0.6386	-0.5725	2	16	38	11	2014.5455	20.0909	0.8404
1077	parameter estimation	-0.6323	0.3985	1	28	52	10	2006.6	40	0.9805
1103	pesticide	0.5069	-0.7509	2	15	32	9	2005.2222	36.4444	0.8756
1202	rain	0.367	0.5195	3	21	46	12	2014.5	26.8333	1.0411
1238	reflectometers	-0.9234	-0.5244	1	18	43	9	2001.7778	47.2222	1.0067
1289	runoff	0.3314	0.8135	3	24	74	17	2017.8235	30.0588	0.985
1359	simulation	-0.0472	-0.1977	1	31	65	17	2003.2941	66.0588	1.5476
1375	soil	-0.3318	-0.1406	1	41	283	67	2007.1791	44.3582	1.0925
1412	soil moisture	-0.418	0.4043	3	31	117	29	2012.0345	47.5517	1.2925
1431	soil profile	-0.036	-0.4418	2	21	31	9	2010.4444	48.7778	1.4422
1447	soil water	-0.7159	0.0997	1	30	110	23	2004.8261	41.5652	0.9386
1466	solute transport	-0.4983	-0.6549	1	24	87	25	2002.16	40.92	0.8117
1620	time domain reflectometry	-0.6858	-0.7342	1	16	38	9	1999.1111	55.6667	0.9803
1645	transfer function	-0.6646	-0.4268	1	23	51	10	2005.7	73.3	1.6653
1671	tunisia	0.2569	0.9983	3	14	40	12	2020.4167	20.75	0.8684
1700	vadose zone	-0.4736	-0.2361	1	26	44	9	2006.6667	19.8889	0.4596
1739	water	-0.6578	-0.1118	1	25	50	10	2004.5	49	1.0513
1748	water content	-0.4499	0.0812	1	37	102	19	2008.9474	69.5263	1.6199
1759	water management	0.8665	0.3614	2	22	75	17	2016.7647	31.7059	0.9063
1769	water pollution	0.8447	-0.5979	2	18	47	11	2015.4545	32.8182	1.1397
1777	water resource	0.137	0.4062	3	24	38	10	2008.5	28.1	0.7113
1797	watershed	0.0179	0.8619	3	18	43	9	2017.4444	18.5556	1.0016
