id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	adult	-0.9422	0.5264	2	27	80	10	2016	35.8	1.1022
42	animal	0.2372	-0.1299	1	38	393	53	2017.3962	47.5472	1.1611
94	belgium	-0.7325	0.2576	2	34	104	19	2017.7895	41.8421	0.9493
126	bovine	1.0762	0.1012	3	32	118	12	2020.9167	64	1.3996
141	cattle	0.8901	-0.2064	3	35	148	16	2020.125	55.4375	1.3735
142	cattle disease	1.1645	-0.1276	3	29	107	10	2020.2	18.4	1.021
252	disease carrier	-0.7474	-0.7172	1	23	56	8	2010.25	97.25	1.3289
261	disease transmission	-0.7207	-0.3894	1	34	71	9	2013.1111	78.7778	1.0628
293	ecosystem	-0.0272	-0.3214	1	36	147	22	2015.6364	49.4091	1.0663
296	ecuador	0.8905	0.5558	3	27	91	10	2022.6	15.9	1.4368
308	environment	-0.0323	0.2489	2	36	67	8	2015.375	57.25	1.4461
313	environmental factor	0.0854	0.6862	2	35	112	12	2017.75	29.1667	1.109
327	epidemiology	-0.0468	-0.0079	1	36	109	14	2019.8571	39.6429	0.8199
348	female	-0.4941	0.386	2	37	152	17	2015.7647	35.9412	1.1511
374	forests	-0.4191	0.6315	2	29	91	12	2016.6667	25.5833	0.8907
390	geography	-0.1023	-0.654	1	31	72	9	2013.2222	56.7778	0.9961
454	human	-0.663	0.0158	1	38	274	37	2016.5946	42.3784	1.0745
474	incidence	-0.5359	-0.1609	1	36	86	10	2016.4	29.3	0.704
511	ixodes ricinus	-0.1107	0.8172	2	33	105	14	2020.7857	27.1429	1.381
512	ixodida	0.1302	-0.7818	1	30	78	9	2013.4444	87.2222	1.067
524	land use	-0.1526	0.4356	1	30	78	11	2016.3636	44.5455	1.0843
556	livestock	0.7581	0.2246	3	28	72	8	2021	83.875	1.3453
567	lyme disease	-0.9879	0.2729	2	26	63	9	2017.3333	37.6667	1.1874
576	male	-0.7286	0.6565	2	31	86	11	2013.7273	41.6364	1.1724
649	nonhuman	0.2375	0.4012	3	38	245	29	2018.0345	35.2069	1.2654
675	parasitology	0.5404	-0.5976	3	35	111	11	2016.4545	61.9091	1.0634
698	physiology	0.4306	-0.3746	1	35	109	13	2017.0769	31.1538	0.9164
709	population density	0.1438	-0.5001	1	32	70	11	2014.9091	81.5455	1.1208
768	rhipicephalus	1.0112	-0.4663	3	26	91	10	2019.2	28.6	1.3027
775	risk	-0.3201	-0.1009	2	36	113	13	2016.3846	36	1.0565
776	risk factor	-0.2729	0.1889	2	38	185	20	2017.2	31.05	0.8526
842	spatial analysis	-0.317	-0.4375	1	32	61	8	2016.875	28.375	0.9956
870	statistical model	-0.5403	-0.554	1	32	76	10	2015.8	38.8	0.8781
893	thailand	-0.9377	-0.2418	1	22	37	8	2011.5	50.25	0.9314
896	tick	0.3376	0.2118	2	35	178	21	2019.0952	29.2381	1.1931
898	tick borne disease	0.4761	0.603	3	34	97	11	2020.1818	16.9091	0.9448
903	tick infestation	0.7549	-0.028	3	31	112	11	2019	27.5455	1.2648
960	veterinary medicine	1.0272	0.3702	3	30	122	12	2022.1667	12.75	1.0598
993	zoonosis	-0.3603	-0.7937	1	29	59	8	2014.5	86.625	1.2484
