id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
39	beech	-0.586	0.5751	1	21	48	8	2014.75	31.75	0.8683
40	belgium	0.1054	0.5796	3	25	58	12	2014.1667	30.1667	0.9388
71	carbon dioxide	-0.889	-0.1218	1	17	25	5	2016.6	39	1.079
73	carbon flux	-0.6117	-0.2849	1	21	32	6	2018.3333	44.5	0.9971
74	carbon sequestration	-0.1942	-0.3083	1	17	23	5	2018.2	61.4	0.7683
87	climate change	-0.3939	-0.1003	1	26	73	14	2018.6429	48.7857	0.7603
113	deciduous tree	-0.3478	0.5232	1	18	37	5	2015.8	36.8	0.836
133	drought	0.3238	-0.0192	2	29	75	13	2019.0769	53.6923	0.6347
138	drought stress	0.1076	0.3716	3	18	29	5	2016	46.6	0.6709
150	ecosystem	0.7153	-0.2952	2	20	45	10	2020	217	1.8359
157	eddy covariance	-0.8609	-0.4017	1	22	56	13	2019.3846	162.3077	1.5392
176	europe	-0.4177	-0.5194	1	23	57	14	2018.5	42.5714	0.8106
182	evapotranspiration	-0.6659	-0.0162	1	17	29	7	2013	53.2857	1.2791
206	forest ecosystem	-0.3665	0.1732	1	24	65	14	2016.5	28	0.7707
219	forestry	0.3952	0.2887	3	25	55	12	2015.5833	33.75	0.8981
221	forests	0.2308	-0.3981	3	20	55	11	2019.0909	80	1.0522
243	growing season	-0.7813	0.3315	1	17	24	6	2019.8333	17	1.0105
265	icos	-0.9611	-0.7113	1	6	11	5	2019.6	31.2	0.7609
314	modelling	-0.6199	-0.4995	1	20	31	5	2018.6	40.4	1.1568
349	oak	-0.2237	0.6885	1	19	40	8	2011	25.25	0.6627
380	plant	0.9868	-0.3302	2	11	18	5	2019.8	28.6	0.5224
398	primary production	0.5017	-0.2535	2	20	27	5	2021.4	67.8	0.7571
432	sahel	1.3218	-0.0969	2	10	27	7	2019.2857	16.8571	0.5188
446	senegal	1.3348	0.0715	2	7	17	6	2018.1667	18.8333	0.5598
462	soil moisture	-0.012	-0.0848	3	22	32	6	2016.3333	67.6667	0.8321
468	soil water	-0.5655	0.2314	1	20	33	7	2016	26.4286	0.6138
499	temperate forest	-0.972	0.1926	1	14	25	6	2017	19.3333	0.7238
513	topography	1.119	-0.0169	2	13	27	6	2019.5	21.3333	0.7193
519	tree	0.6039	0.0416	2	19	33	8	2016.875	81.375	1.0019
550	wallonia	0.5157	0.5004	3	14	24	5	2019.2	26.4	0.8485
555	water budget	-0.0822	0.1297	1	22	30	5	2019.6	19.4	0.9806
582	woody vegetation	1.2895	-0.2403	2	9	19	5	2021	9.2	0.5089
