id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
17	animal	0.8791	-0.1149	1	36	75	10	2015.8	37.6	1.3183
25	anura	0.9714	-0.4779	1	7	11	4	2005	88.75	1.3872
28	apoidea	-0.317	-0.3106	3	23	35	4	2008.5	19.5	0.9379
45	bee	-0.2169	-0.454	3	27	55	5	2009.2	19.6	0.9242
66	bufo calamita	1.0202	-0.4321	1	7	11	4	2005	88.75	1.3872
68	bumblebees	-0.281	-0.052	3	26	31	4	2000.25	34	1.1979
69	butterflies	0.8985	0.1992	1	10	23	4	2016.25	26.5	1.6967
75	chloroplast dna	-0.6254	0.6182	4	9	13	4	2005.75	35.75	1.1332
127	ecosystem	1.204	-0.0571	1	10	19	4	2015.5	34.25	1.3482
131	embryophyta	-0.3502	0.6732	4	12	17	4	2002	46	1.2459
152	evolution	0.3771	0.5101	4	17	20	4	2011	32.5	1.5943
174	flower	0.0759	-0.1884	3	33	72	7	2015.4286	31.4286	1.2271
180	flower visiting	0.1354	0.0049	3	29	32	4	2012.25	10	0.6157
181	flowering	-0.0208	0.4494	4	18	20	4	2000.75	28.25	0.8928
191	fruit set	-0.3801	0.2244	3	15	23	6	2010.6667	31.8333	0.8902
193	gene flow	0.1384	-0.5904	2	28	50	4	2012.25	48.5	1.3081
201	genetic variability	0.3497	-0.0841	1	24	31	5	2004.2	68	1.192
202	genetics	0.0661	-0.3505	3	34	82	7	2011.1429	34.1429	1.1201
211	germination	-0.6884	-0.5422	2	27	59	4	2013.5	13.5	1.1523
228	hemiparasite	-1.1511	-0.0583	2	17	34	5	2009.6	11.4	0.8518
229	herb	-0.4396	-0.1812	3	29	62	6	2015.3333	11.8333	1.0864
239	hybrid	-0.1793	0.3015	4	34	71	7	2006.4286	37	1.1862
245	hybridization	-0.6202	-0.0226	2	34	106	10	2011	18.7	1.1241
247	"hybridization, genetic"	-0.2967	-0.6649	2	28	67	4	2014.25	15.5	1.1341
261	introgression	-0.6664	0.1592	2	31	71	7	2010.1429	22.7143	1.1533
267	iris fulva	-0.2095	0.61	4	15	21	5	2001.6	41	1.0602
280	lepidoptera	1.5371	-0.0777	1	5	12	4	2025.25	4	1
282	life history	0.5974	0.2553	1	13	19	5	2004.4	51	1.331
288	light pollution	1.5594	-0.0104	1	5	12	4	2025.25	4	1
302	magnoliophyta	-0.0525	0.0681	3	30	54	7	2008	33.4286	1.0864
304	maniola jurtina	0.9236	0.2965	1	10	23	4	2016.25	26.5	1.6967
324	molecular markers	-0.9063	0.5296	4	11	20	4	2007	24.75	1.2518
328	moth	1.4338	0.0154	1	6	14	4	2025	7.5	1.125
332	natural hybridization	-0.0301	0.6594	4	11	19	4	2001	40.5	1.1851
335	nectar	0.7368	0.3583	1	15	28	5	2013	24.8	1.4508
348	orchidaceae	-0.4958	0.3887	3	12	15	4	2014.5	16	1.0158
350	orobanchaceae	-0.859	-0.1039	2	31	113	15	2010.4667	14.2	0.8699
366	physiology	0.7013	-0.1563	1	38	90	11	2016.3636	31.3636	1.229
374	plant seed	-0.4953	-0.6517	2	27	55	4	2012.75	43.25	1.1273
384	pollination	-0.3179	0.0863	3	33	75	10	2006.8	20.9	0.9519
410	rapds	-0.9881	0.3127	4	19	32	4	2007.25	34	1.1118
418	reproductive isolation	-0.1472	-0.153	3	28	51	4	2010.25	22.25	1.072
423	rhinanthus	-0.9315	-0.3474	2	29	86	12	2011.8333	13.3333	0.8633
425	rhinanthus angustifolius	-0.8554	0.0689	2	30	92	10	2010.2	19.2	1.0735
427	rhinanthus minor	-0.7673	-0.3542	2	30	102	9	2011.3333	18.6667	1.1669
432	seed	-0.4775	-0.4941	2	27	55	4	2012.75	43.25	1.1273
433	seed production	-0.6517	-0.2191	2	27	46	5	2007	16.8	1.1302
479	survival	0.4922	0.0827	1	24	31	5	2007.6	36.6	1.4643
501	vernalization	0.3204	0.2768	1	5	5	4	2000.75	20.75	0.9133
