id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
46	astronomy	-0.5957	-0.7428	1	34	85	11	2016.2727	64.7273	1.7724
48	atlantic ocean	-0.1888	0.2282	3	30	67	11	2020.7273	23.7273	0.9848
62	atmospheric thermodynamics	0.5187	0.651	2	36	109	13	2021.3846	22.5385	1.1489
82	carbon dioxide	-0.6443	-0.2432	1	36	142	18	2018.7222	77.9444	1.2593
96	china	0.7391	-0.0715	2	38	203	30	2019.6	29.2667	0.8024
107	climate change	0.0201	-0.1724	2	38	127	20	2021.35	46.85	0.9889
121	climate variation	-0.089	-0.9043	1	36	105	17	2020.2353	26.4118	0.9166
233	far east	0.6932	0.2346	2	32	100	13	2017.5385	28.3846	0.8249
254	glacial geology	0.0888	0.604	3	36	110	13	2022.4615	46.7692	1.0691
260	glacier	-0.0619	0.9073	3	35	108	12	2022.5833	21.1667	1.156
276	greenhouse gas	-0.3652	-0.8472	1	30	81	10	2013.9	130	1.4731
277	greenhouse gases	-0.779	-0.0133	1	31	66	10	2018.3	72.3	0.8299
300	holocene	-0.9028	-0.3287	1	26	51	10	2021.3	78.9	1.7827
315	ice	0.2143	0.9332	3	30	83	9	2022	54.3333	1.5879
319	ice sheet	-0.4875	0.235	3	36	178	22	2019.0455	28.7727	0.9961
324	incident solar radiation	-0.7903	0.4071	3	33	128	14	2018.8571	67.2857	1.2442
329	insolation	-0.4674	-0.4299	1	38	181	25	2019.92	34.92	1.1587
332	interglacial	-0.0432	-0.5307	1	37	224	27	2018.0741	50.7407	0.9927
384	loess	0.9203	-0.5106	2	31	80	12	2018.75	23.4167	0.9874
386	loess plateau	1.0843	0.0025	2	31	88	12	2019.4167	13	0.5987
397	marine isotope stage	0.3065	-0.4759	5	36	165	20	2018.1	40.45	0.6392
436	modelling	-0.2555	-0.2764	1	37	222	33	2019.6667	36.3333	1.2445
439	monsoon	0.4397	0.41	2	36	145	19	2018.2105	22.8947	0.7626
467	northern hemisphere	-0.5323	0.5148	3	36	126	15	2019.8	77.2	1.0543
473	oceanography	-0.526	0.8186	3	33	85	10	2022	13.5	0.9238
479	orbital forcing	-0.263	0.8062	4	25	43	9	2023.8889	12.4444	1.1205
492	pacific ocean	0.1015	0.3487	4	29	74	11	2021.1818	16.5455	1.2241
504	paleoclimate	0.1621	-0.7301	1	38	260	41	2017.439	55.6829	1.0038
505	paleoclimate modeling	-0.8545	-0.6173	1	30	68	9	2019.3333	46.7778	1.1929
516	paleosol	1.016	-0.2689	2	34	84	12	2017.6667	25.75	0.7965
535	pleistocene	0.3658	-0.2009	2	31	65	10	2021.4	54	1.6054
545	precession	0.0773	0.0585	4	34	61	10	2021.5	13.5	0.7725
562	qinghai-xizang plateau	0.7328	-0.6435	2	26	48	9	2021	18.8889	0.6502
564	quaternary	0.6335	-0.3468	2	34	95	14	2018.2857	57.2143	1.0515
585	sea ice	-0.9767	0.1607	1	30	91	13	2019.4615	42.9231	1.4014
591	sea surface temperature	-0.2355	0.4925	3	36	108	14	2018.4286	52	1.0402
600	sediment	0.8764	0.4416	2	33	88	10	2022.3	12.9	0.9477
607	simulation	-0.313	-0.048	4	31	60	9	2022.6667	43.5556	1.3596
655	summer	0.3812	0.1482	4	33	84	12	2021.5833	12.5	0.8575
