id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	agricultural land	0.1257	0.7081	1	19	21	3	2016	213	1.5754
13	agricultural production	-1.1137	0.342	1	17	29	4	2018.75	66.5	0.8156
15	agricultural worker	0.325	0.4847	2	19	22	3	2019.3333	87.3333	0.9963
16	agriculture	-0.1183	-0.1577	3	36	70	10	2019.8	99.1	1.0717
25	amazonas [brazil]	-1.126	-0.0106	1	20	26	3	2018.6667	81	0.8256
33	animal	0.491	0.2384	2	25	39	6	2016.8333	131.8333	1.0002
36	animal food	0.9639	0.4648	2	17	22	3	2016	16.3333	0.4582
48	biodiversity	0.4968	-0.4053	4	18	22	3	2016	160.6667	1.6916
53	bos	-0.8181	0.1659	1	18	29	4	2018.75	71.5	0.8717
55	brazil	-0.8739	-0.0505	1	28	62	8	2020	83.125	1.0385
61	carbon footprint	0.909	-0.1837	2	18	24	3	2017.6667	94	0.7968
64	cattle	-0.4121	0.0633	1	26	47	6	2019.6667	93.6667	1.0756
75	cocoa	-0.4848	-0.3585	3	14	17	3	2023.3333	35.3333	1.2315
77	commerce	0.1195	-0.7612	4	18	19	3	2020	149.6667	1.3925
87	conservation of natural resources	0.5922	-0.173	2	26	36	4	2018.25	162.75	1.1539
92	cost benefit analysis	0.3693	-0.8848	4	11	15	3	2019	105	1.0316
98	crop production	-0.259	-0.3963	3	18	20	3	2020.6667	100.6667	1.3783
106	deforestation	-0.6058	-0.1869	3	32	74	12	2021.8333	58.8333	1.0556
134	environmental impact	0.2975	-0.2588	2	27	38	6	2018.1667	106.5	0.8318
140	environmental protection	0.1611	-0.0392	2	33	54	6	2017.8333	158.1667	1.1641
148	europe	-0.2747	0.8649	1	15	19	3	2020.3333	83.6667	0.8803
149	european union	0.1014	0.2431	3	25	37	6	2020.1667	80.8333	1.0923
170	food supply	1.0416	0.116	2	19	27	4	2018.75	46.5	0.7906
172	food waste	0.6825	0.1355	2	27	37	5	2017.2	154.4	0.8466
185	gas emissions	0.7156	-0.7164	4	15	19	3	2018	118.3333	0.9556
198	governance	-0.1761	0.0706	1	15	19	3	2022	187	1.2162
204	greenhouse gas	0.355	-0.0181	2	30	43	6	2019	126.5	1.1184
207	greenhouse gases	0.338	-0.5941	4	25	35	5	2018.4	97.6	0.8442
216	human	0.5881	0.5041	2	19	26	4	2020	122.25	0.828
226	international trade	-0.7746	-0.4669	3	18	34	5	2020.6	79.8	1.0858
234	land use	-0.4553	0.5401	1	26	37	5	2020	150.4	1.1019
235	land use changes	-0.6717	0.3926	1	20	27	5	2020.4	73.8	0.8768
251	livestock	-0.0714	0.3541	1	30	52	6	2017.3333	111.3333	1.1258
252	livestock farming	-0.5617	0.7502	1	18	21	3	2018.3333	86.3333	1.0163
258	meat	-0.2034	0.5702	1	27	43	5	2018.6	79.8	1.0289
308	recycling	0.6478	0.7341	2	18	23	3	2016.6667	80	0.6056
352	supply chain management	-0.9875	-0.3767	3	19	32	4	2022	47	0.9083
354	supply chains	-0.0555	-0.578	3	25	47	8	2021.625	64	1.1868
357	sustainability	-0.5295	0.2668	1	32	68	10	2020.8	105.8	1.0168
362	sustainable development	-0.1549	-0.8971	4	18	28	5	2020.8	91.6	1.5072
375	transparency	-0.5837	-0.6583	3	22	33	4	2021	70.5	1.2793
383	united kingdom	0.8741	0.2391	2	19	22	4	2016.75	87.75	0.58
394	waste disposal	1.1167	-0.0768	2	16	21	3	2016.6667	174.3333	0.7283
