id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7	adaptation	-0.5457	-0.0008	1	35	87	12	2008.0833	64.6667	0.7756
23	agricultural land	-0.0052	0.2534	2	34	78	12	2014.6667	28.4167	0.5487
35	animal	0.2239	0.4084	2	42	312	41	2014.6098	148.4146	1.4361
43	animalia	0.027	-0.8013	3	32	89	15	2012.6	194.5333	1.7166
49	anthropogenic effect	0.4732	-0.4193	3	34	70	9	2017.7778	35.4444	1.0074
94	belgium	0.7874	-0.1683	4	39	110	19	2014.0526	37.8421	0.6383
101	biodiversity	0.6977	-0.5212	3	30	90	15	2015.9333	143.4	1.9447
146	butterflies	0.0936	-0.0488	4	43	498	95	2011.2526	67.1789	0.8506
168	climate change	0.5514	-0.052	1	33	64	14	2017	101.2143	1.2372
232	dispersal	0.2227	-0.5541	3	34	86	13	2013.6923	105	1.2304
270	ecosystem	0.5947	0.3132	2	40	181	23	2015.1739	138.3043	1.3828
289	endangered species	1.2323	-0.3076	4	16	42	9	2013.1111	66.2222	1.1446
317	europe	1.0285	0.0287	4	25	69	13	2010.5385	106.6154	1.585
320	evolution	0.0144	-0.2522	1	32	61	11	2013.7273	213.8182	1.9187
336	fecundity	-0.7721	0.528	3	28	72	9	2009.7778	39.2222	0.7687
339	female	-0.3379	0.7131	2	39	182	19	2011.2632	42.2632	0.6553
344	fitness	-0.5798	0.4266	1	31	74	9	2011.2222	155.8889	1.4742
346	flight	-0.9879	0.0539	1	31	86	13	2008.6154	67.8462	0.7665
347	flight activity	-1.0013	0.3767	1	28	72	10	2009.3	44.1	0.7371
353	"flight, animal"	-0.0397	0.977	2	30	100	10	2012.3	52	1.0036
358	flying	-0.2568	0.9603	2	32	111	11	2012.2727	50.0909	0.9318
369	forests	0.5812	0.6669	2	31	83	9	2011.8889	48.1111	0.7598
380	functional morphology	-0.7311	-0.0927	1	32	68	9	2008.8889	68.2222	0.678
423	habitat	0.9322	0.5471	2	24	57	10	2013.3	130.9	1.4959
429	habitat fragmentation	-0.2534	-0.1887	3	39	164	23	2009.8696	96.6087	1.1139
435	habitat selection	0.3292	0.1714	2	27	61	12	2013.6667	23.6667	0.4819
440	habitat use	0.2841	-0.2256	1	31	54	9	2012.5556	37	0.7057
452	hexapoda	-0.4089	-0.3703	3	40	174	27	2013.1852	140.7407	1.1361
473	human	0.8761	0.3142	2	29	85	12	2017.4167	79.5833	1.5261
492	insect	-0.7665	-0.6067	3	28	59	12	2009.3333	205.3333	1.3614
534	lepidoptera	-0.2174	-0.8896	3	38	128	29	2010.6897	97.2759	1.3249
539	life history trait	-0.3277	0.2656	3	34	89	11	2013.1818	62.1818	0.9115
568	male	-0.0908	0.6051	2	39	147	16	2011.5	41.0625	0.6226
584	mate location	-0.5524	-0.629	1	27	55	9	2008.8889	57.2222	0.7091
628	morphology	-0.2372	0.0459	1	36	91	14	2011.0714	42.9286	0.8357
677	nonhuman	0.4266	0.5055	2	35	125	15	2011.4667	87.4	1.2948
694	oviposition	-0.7626	0.2431	3	32	99	15	2012.1333	32.2667	0.6053
700	pararge aegeria	-0.9018	-0.272	1	39	286	49	2008.551	46.8367	0.6448
731	phenotypic plasticity	-0.3148	-0.6239	1	34	81	16	2014.5625	35.375	0.7245
739	physiology	0.1829	0.6861	2	42	229	28	2014.2857	49.75	0.8261
887	species conservation	1.0336	-0.3516	4	18	42	9	2012.2222	41.5556	0.7598
943	thermoregulation	-0.6568	-0.3325	1	31	72	12	2007	66.5833	0.9962
977	urbanization	0.308	-0.8416	3	29	75	11	2018.9091	88.6364	1.5486
1009	woodland	-0.1529	-0.54	3	31	80	13	2014.9231	25.0769	0.4796
