nom;prenom;pole;sd1;conf1;kw1;sd2;conf2;kw2;sd3;conf3;kw3;sd4;conf4;kw4;sd5;conf5;kw5
Agnan;Yannick;ELIE;D7.2.;2.0;soil (0.0514), lichens (0.0467), environmental monitoring (0.0467);D7.1;1.2;mercury (0.0444), trace element (0.0304);D7.3.;0.8;air pollution (0.0257), mosses (0.0257), atmosphere (0.0257);D7.4.;0.6;herbarium (0.0234), france (0.0234), article (0.0234);D2.1.;0.4;bioaccumulation (0.0210), atmospheric deposition (0.0210), ecosystem (0.0210)
Baeckens;Simon;ELIV;D5.5.;2.0;lizard (0.1027), animals (0.0581), animal (0.0581);D3.1.;1.2;lizards (0.0504), evolution (0.0407), phylogeny (0.0407);D3.5.;0.8;male (0.0349), lacertidae (0.0310), squamata (0.0310);D5.1.;0.6;biological evolution (0.0291), pheromone (0.0233), female (0.0233);D3.3.;0.4;animalia (0.0213), adaptation (0.0194), physiology (0.0194)
Baret;Philippe;ELIA;D5.1.;2.0;phylogeny (0.0519), nonhuman (0.0519), saccharomyces cerevisiae (0.0462);D5.2.;1.2;belgium (0.0423), drosophila melanogaster (0.0346), europe (0.0327);D6.2.;0.8;yeast (0.0308), animal (0.0308), animals (0.0288);D8.3.;0.6;male (0.0288), yarrowia lipolytica (0.0288), female (0.0250);D5.5.;0.4;population genetics (0.0231), agroecology (0.0212), agriculture (0.0212)
Bielders;Charles;ELIE;D2.4.;2.0;runoff (0.0662), erosion (0.0465), soil erosion (0.0447);D6.1.;1.2;soils (0.0358), modelling (0.0340), belgium (0.0322);D2.1.;0.8;tillage (0.0304), overland flow (0.0304), burkina faso (0.0233);D9.1.;0.6;land use (0.0233), rainfall (0.0215), connectivity (0.0215);D2.3.;0.4;soil fertility (0.0197), soil structure (0.0197), agriculture (0.0197)
Bogaert;Patrick;ELIE;D10.1.;2.0;remote sensing (0.0662), kriging (0.0594), mapping (0.0457);D9.5.;1.2;belgium (0.0365), soils (0.0342), ground penetrating radar (0.0320);D10.5.;0.8;geostatistics (0.0297), bayesian analysis (0.0297), soil surveys (0.0297);D2.2.;0.6;soil moisture (0.0274), data fusion (0.0274), bayesian maximum entropy (bme) (0.0251);D9.2.;0.4;land cover (0.0228), probability (0.0228), iran (0.0205)
Bragard;Claude;ELIM;D6.3.;2.0;plant health (0.1296), plant pest (0.1296), quarantine (0.1234);D5.2.;1.2;pest risk (0.1092), european union (0.0804), phylogeny (0.0255);D5.5.;0.8;plant diseases (0.0198), nonhuman (0.0192), plant disease (0.0192);D5.4.;0.6;genetics (0.0187), commodity risk assessment (0.0158), virology (0.0125);D6.1.;0.4;xanthomonas (0.0113), wheat (0.0108), article (0.0108)
Couvreur;Valentin;ELIA;D4.2.;2.0;water (0.0633), transpiration (0.0475), root water uptake (0.0430);D4.3.;1.2;soil (0.0430), root system (0.0385), modelling (0.0362);D2.2.;0.8;soil water (0.0362), soil moisture (0.0339), water uptake (0.0317);D2.3.;0.6;plant roots (0.0271), plant root (0.0271), flow of water (0.0271);D9.1.;0.4;plants (botany) (0.0271), water flow (0.0249), maize (0.0249)
Crucifix;Michel;ELIC;D1.2.;2.0;climate change (0.0791), modelling (0.0791), paleoclimate (0.0690);D1.1.;1.2;carbon dioxide (0.0471), ice sheet (0.0421), last glacial maximum (0.0303);D1.3.;0.8;pleistocene (0.0269), climate variation (0.0236), sea surface temperature (0.0236);D1.4.;0.6;climate models (0.0219), glacial geology (0.0219), sea ice (0.0219);D9.1.;0.4;simulation (0.0202), general circulation model (0.0202), ice (0.0202)
Declerck;Stephan;ELIM;D3.5.;2.0;fungi (0.1176), arbuscular mycorrhiza (0.0606), mycorrhiza (0.0461);D4.3.;1.2;arbuscular mycorrhizal fungi (0.0418), mycorrhizae (0.0418), glomeromycota (0.0364);D4.1.;0.8;microbiology (0.0321), plant root (0.0315), solanum tuberosum (0.0297);D5.3.;0.6;symbiosis (0.0297), phosphorus (0.0297), plant roots (0.0248);D7.5;0.4;medicago truncatula (0.0236), physiology (0.0218), arbuscular (0.0218)
Defourny;Pierre;ELIE;D10.1.;2.0;remote sensing (0.1311), land cover (0.0516), time series (0.0411);D10.3.;1.2;crops (0.0393), spatial resolution (0.0341), satellite imagery (0.0341);D10.2.;0.8;agriculture (0.0332), forestry (0.0323), sentinel 2 (0.0280);D10.4;0.6;mapping (0.0262), image analysis (0.0253), modis (0.0245);D9.3.;0.4;leaf area index (0.0245), vegetation (0.0245), synthetic aperture radar (0.0245)
