Code;Subdomain title;Domain title
D1.1.;Climate dynamics and climate modelling;D1. Climate and Earth system sciences
D1.2.;Paleoclimate and Quaternary environments;D1. Climate and Earth system sciences
D1.3.;Polar regions, sea ice and cryosphere;D1. Climate and Earth system sciences
D1.4.;Ocean, atmosphere and Earth system interactions;D1. Climate and Earth system sciences
D1.5.;Climate prediction, variability and extremes;D1. Climate and Earth system sciences
D2.1.;Soil processes and soil health;D2. Soil, water and biogeochemistry
D2.2.;Soil Physics and environmental transport;D2. Soil, water and biogeochemistry
D2.3.;Hydrology and water resources;D2. Soil, water and biogeochemistry
D2.4.;Earth surface dynamics and landscape processes;D2. Soil, water and biogeochemistry
D2.5.;Biogeochemistry and geochemical cycles;D2. Soil, water and biogeochemistry
D3.1.;Biodiversity and species dynamics;D3. Biodiversity, ecology and conservation
D3.2.;Ecological conservation and restoration;D3. Biodiversity, ecology and conservation
D3.3.;Biological invasions;D3. Biodiversity, ecology and conservation
D3.4.;Pollination and biotic interactions;D3. Biodiversity, ecology and conservation
D3.5.;Species interactions and community dynamics;D3. Biodiversity, ecology and conservation
D4.1.;Plant physiology and metabolism;D4. Plant biology and plant physiology
D4.2.;Soil-plant-water relations;D4. Plant biology and plant physiology
D4.3.;Root system architecture;D4. Plant biology and plant physiology
D4.4.;Abiotic stress biology;D4. Plant biology and plant physiology
D4.5.;Functional plant biology and phenotyping;D4. Plant biology and plant physiology
D5.1.;Population genetics and evolutionary genetics;D5. Genetics, genomics and molecular biology
D5.2.;Genomics and gene regulation;D5. Genetics, genomics and molecular biology
D5.3.;Transcriptomics and gene expression;D5. Genetics, genomics and molecular biology
D5.4.;Molecular biology and cellular processes;D5. Genetics, genomics and molecular biology
D5.5.;Phylogeny and molecular evolution;D5. Genetics, genomics and molecular biology
D6.1.;Agronomy and crop production;D6. Agriculture, agronomy and food systems
D6.2.;Agroecology and sustainable farming systems;D6. Agriculture, agronomy and food systems
D6.3.;Plant health and crop protection;D6. Agriculture, agronomy and food systems
D6.4.;Livestock and integrated agricultural systems;D6. Agriculture, agronomy and food systems
D6.5.;Food systems, food security and nutrition;D6. Agriculture, agronomy and food systems
D7.1;Pollutants and contaminants;D7. Environmental pollution and contamination
D7.2.;Heavy metals;D7. Environmental pollution and contamination
D7.3.;Environmental quality;D7. Environmental pollution and contamination
D7.4.;Elemental biogeochemistry;D7. Environmental pollution and contamination
D7.5;Environmental remediation;D7. Environmental pollution and contamination
D8.1.;Environmental and agricultural economics;D8. Society, economics, governance and sustainable development
D8.2.;Governance and public policy;D8. Society, economics, governance and sustainable development
D8.3.;Sustainability transitions and socio-ecological systems;D8. Society, economics, governance and sustainable development
D8.4.;Value chains and markets;D8. Society, economics, governance and sustainable development
D8.5.;Rural development and livelihoods;D8. Society, economics, governance and sustainable development
D9.1.;Mathematical and process-based modelling;D9. Data Science, modelling, and artificial intelligence
D9.2.;Statistical analysis;D9. Data Science, modelling, and artificial intelligence
D9.3.; Artificial intelligence and machine learning;D9. Data Science, modelling, and artificial intelligence
D9.4.;Uncertainty analysis and forecasting;D9. Data Science, modelling, and artificial intelligence
D9.5.;GIS and spatial analysis;D9. Data Science, modelling, and artificial intelligence
D10.1.;Earth observation and satellite remote sensing;D10. Remote sensing
D10.2.;Environmental monitoring and change detection;D10. Remote sensing
D10.3.;Remote sensing for agriculture, ecosystems and climate;D10. Remote sensing
D10.4;Radar remote sensing;D10. Remote sensing
D10.5.;Geophysics and subsurface sensing;D10. Remote sensing
